sample_id,key,folder_id,model,image_path,caption_post_direct,caption_recon,reproj_mse_post_direct,reproj_cosine_post_direct,reproj_mse_recon,reproj_cosine_recon,clipscore_gt,clipscore_post_direct,clipscore_recon,clipscore_drop,bertscore_precision,bertscore_recall,bertscore_f1
416:0:000010000,10000,1,qwen3.5,data/mtf2025_web_images/00001/000010000.jpg,"In a bustling kitchen or food preparation area, a large black cast-iron skillet sits atop a portable burner, filled with numerous plump, pale dumplings that appear to be steaming or frying, surrounded by scattered wooden skewers and blurred background elements including stacked containers and kitchen equipment, suggesting an active cooking environment—possibly for a street food stall or catering setup.","A black cast-iron skillet filled with golden-brown, pan-fried dumplings sits on a wooden surface, surrounded by blurred kitchen items including a white plate, a red bowl, and chopsticks, suggesting a home-cooked meal in progress.",0.0,1.0,0.0300465822219848,0.893921971321106,32.74038314819336,31.581270217895508,28.18880653381348,3.3924636840820312,0.82392967,0.85134196,0.8374115
416:1:000010001,10001,1,qwen3.5,data/mtf2025_web_images/00001/000010001.jpg,"A wooden spoon brimming with a colorful medley of sautéed vegetables—including sliced carrots, onions, mushrooms, and purple cabbage—is lifted from a dark skillet, with blurred background elements suggesting a warm, rustic kitchen setting.","A close-up, shallow-focus photograph captures a rustic wooden spoon lifting a colorful medley of sautéed vegetables—golden-brown mushrooms, vibrant orange carrot slices, and translucent onion pieces—from a dark cast-iron skillet, with blurred background elements hinting at a kitchen setting and additional ingredients like garlic and red peppers, evoking a warm, home-cooked meal in progress.",0.0,1.0,0.0247009992599487,0.9186519980430604,34.30302810668945,33.20024108886719,35.20048141479492,-2.0002403259277344,0.8067154,0.8605446,0.8327611
416:2:000010002,10002,1,qwen3.5,data/mtf2025_web_images/00001/000010002.jpg,"In the foreground, a bamboo steamer basket holds several plump, translucent dumplings with delicate pleated edges, one of which is crowned with a vibrant green broccoli floret, while two additional bamboo steamers containing similar dumplings are softly blurred in the background, creating a warm, inviting scene of traditional Asian dim sum presentation.","Three bamboo steamers arranged on a white surface, with the foreground steamer containing steamed dumplings and a piece of broccoli, while the background steamers hold additional dumplings, all illuminated by soft natural light that highlights their textures and steamy freshness.",0.0,1.0,0.0250382553786039,0.920196533203125,32.105445861816406,35.5074577331543,39.70394134521485,-4.196483612060547,0.845701,0.8929862,0.8687006
416:3:000010003,10003,1,qwen3.5,data/mtf2025_web_images/00001/000010003.jpg,"A white rectangular plate holds four golden-brown, pleated dumplings arranged diagonally, accompanied by two small white dipping bowls—one containing vibrant red chili oil and the other dark soy sauce with visible garlic cloves—all set against an elegant white tablecloth adorned with intricate gold floral embroidery.","A white ceramic plate holds four golden-brown, flaky dumplings arranged in a semi-circle, accompanied by two small matching bowls—one containing a glossy red chili sauce and the other a dark soy-based dipping sauce with visible garlic cloves—all set against a rustic woven placemat with a subtle leaf pattern.",0.0,1.0,0.0309593006968498,0.8834074139595032,35.95488739013672,35.40848922729492,37.02717590332031,-1.6186866760253906,0.8032384,0.8082153,0.80571914
416:4:000010004,10004,1,qwen3.5,data/mtf2025_web_images/00001/000010004.jpg,"A vibrant red square plate holds a golden-brown, flaky pastry or savory pie garnished with fresh green dill, a bright red chili pepper, and accompanied by a whole ripe tomato and a small pile of sliced green vegetables, all arranged against a clean white background to emphasize the dish’s appetizing colors and textures.","A white, square-shaped plate with rounded corners holds a colorful arrangement of food: golden-brown fried items (possibly fish or chicken), garnished with fresh green herbs, accompanied by a whole red tomato, sliced green cucumbers, and a single red chili pepper, all set against a clean white background.",0.0,1.0,0.0254560708999633,0.9245113730430604,30.03918838500977,36.66410446166992,33.787696838378906,2.876407623291016,0.8157722,0.85058963,0.83281714
416:5:000010005,10005,1,qwen3.5,data/mtf2025_web_images/00001/000010005.jpg,"A cross-section of a white ceramic bowl reveals a colorful, layered arrangement of fresh vegetables — including green beans, yellow bell peppers, sliced onions, and leafy greens — artfully stacked to showcase their vibrant textures and natural hues against a neutral gray background.","A white ceramic bowl brimming with a colorful assortment of fresh vegetables—including vibrant green beans, crisp yellow bell pepper strips, tender purple eggplant slices, thinly sliced red onions, and a sprig of fresh parsley—arranged artfully against a clean, neutral background to highlight their natural textures and vivid hues.",0.0,1.0,0.0388243086636066,0.9167983531951904,30.62005424499512,34.14327621459961,34.83472442626953,-0.6914482116699219,0.7786796,0.8176737,0.7977004
416:6:000010006,10006,1,qwen3.5,data/mtf2025_web_images/00001/000010006.jpg,"A vibrant, freshly prepared Thai papaya salad (som tum) is artfully piled on a dark, matte ceramic plate with a speckled rim, featuring shredded green papaya as the base, interspersed with colorful julienned carrots, red bell peppers, and pale cabbage, all lightly dressed and garnished with chopped peanuts and possibly dried shrimp or fish sauce crystals, set against a minimalist, textured gray background that emphasizes the dish’s bright colors and appetizing texture.","A vibrant, freshly prepared salad of shredded white cabbage, orange carrots, and green herbs is artfully arranged on a rustic, off-white ceramic plate with a subtle rim, set against a softly blurred wooden surface that emphasizes the dish’s crisp textures and colorful contrast.",0.0,1.0,0.0285498034209013,0.901978075504303,40.44048309326172,32.548667907714844,34.23489761352539,-1.6862297058105469,0.8249671,0.8409312,0.8328726
416:7:000010007,10007,1,qwen3.5,data/mtf2025_web_images/00001/000010007.jpg,"A top-down view of a wooden table set with eight small blue-and-white patterned plates arranged around a central white plate, each holding a different fresh ingredient—such as shredded carrots, asparagus, cucumber, shrimp, cabbage, and avocado—ready for assembling a dish like spring rolls or sushi.","On a rustic wooden table, a large white ceramic plate holds a neatly arranged stack of thin, pale rice paper wrappers, surrounded by four smaller matching plates each containing fresh, colorful ingredients—shredded carrots, julienned cucumbers, sliced green beans, and pickled daikon radish—ready for assembling Vietnamese spring rolls.",0.0,1.0,0.0287528652697801,0.9000511765480042,31.71975326538086,36.097049713134766,37.70026397705078,-1.6032142639160156,0.79356134,0.88480675,0.8367038
416:8:000010008,10008,1,qwen3.5,data/mtf2025_web_images/00001/000010008.jpg,"On a bright, sunlit kitchen countertop beside a window, a white electric steamer with visible condensation on its glass lid sits next to a decorative plate of golden-brown, herb-topped dumplings or stuffed pastries arranged in a circular pattern around a small red dipping sauce cup, all garnished with fresh green parsley.","On a clean white surface, a small white plate holds four golden-brown fried appetizers—possibly spring rolls or dumplings—arranged around a central dollop of bright red sauce, with fresh green lettuce leaves scattered as garnish, while in the background, a glass bowl contains more of the same fried items, suggesting a ready-to-serve dish.",0.0,1.0,0.0305424500256776,0.8911387324333191,34.53561782836914,34.3974609375,30.922008514404297,3.475452423095703,0.78997105,0.81387126,0.8017431
416:9:000010010,10010,1,qwen3.5,data/mtf2025_web_images/00001/000010010.jpg,"A square white plate with a black rim holds a serving of golden-brown fried shrimp or prawns, garnished with small piles of fresh green herbs and a sprinkle of red pepper flakes, accompanied by a small square white dish containing dark soy sauce, all arranged on a clean, reflective white surface under bright studio lighting.","A white rectangular plate holds a serving of golden-brown fried chicken pieces garnished with fresh green herbs, accompanied by a small square bowl of dark dipping sauce and a few raw shrimp arranged decoratively on the side, all set against a clean white background.",0.0,1.0,0.0196129884570837,0.9200057983398438,39.17079162597656,35.3693733215332,39.89889144897461,-4.529518127441406,0.8342139,0.86532944,0.8494869
