sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed,clipscore_original,clipscore_perturbed,clipscore_gt,clipscore_drop,bertscore_original,bertscore_perturbed,bertscore_orig_vs_pert
416:0:000000000,0,data/mtf2025_web_images/00000/000000000.jpg,"In this image we can see a sandwich on the wooden board. In the background we can see tomatoes, lettuce, knife and other objects.",A sandwich on a cutting board with tomatoes and lettuce on top of it.,mask,0.5,1337,32.582374572753906,30.656314849853516,34.12458419799805,-1.9260597229003906,0.8721094727516174,0.8841158747673035,0.9133837223052979
416:1:000000001,1,data/mtf2025_web_images/00000/000000001.jpg,In this image we can see a plate containing food.,"In this image I can see a food item which is in red, green and yellow color.",mask,0.5,1337,27.538755416870117,29.135189056396484,33.25613021850586,1.5964336395263672,0.8272244930267334,0.8131358623504639,0.9280269742012024
416:2:000000002,2,data/mtf2025_web_images/00000/000000002.jpg,"In this image I can see a plate and on it I can see a sandwich, few tomatoes and a salad.","A plate of food contains a sandwich, a side salad, and cherry tomatoes.",mask,0.5,1337,34.12925720214844,35.3221549987793,38.34334182739258,1.1928977966308594,0.8596215844154358,0.8693962693214417,0.917448878288269
416:3:000000003,3,data/mtf2025_web_images/00000/000000003.jpg,In this image we can see a sandwich on the table.,In this image I can see a sandwich which is in brown color and I can see a tomato and a bread.,mask,0.5,1337,29.132076263427734,30.348093032836914,32.365692138671875,1.2160167694091797,0.8376092910766602,0.8130866289138794,0.9346306324005127
416:4:000000004,4,data/mtf2025_web_images/00000/000000004.jpg,"In this image I can see a plate in the center and on it I can see a sandwich which is made of bread, tomatoes, lettuce and few other things. In the background I can see few tomatoes, few bowls and few other things.","In this image, we can see a plate with some food and a fork. In the background, we can see a table.",mask,0.5,1337,33.844261169433594,28.958332061767578,34.22566223144531,-4.885929107666016,0.8344791531562805,0.82964688539505,0.9193407297134399
416:5:000000005,5,data/mtf2025_web_images/00000/000000005.jpg,In this image we can see a food item.,This is a picture of a burger.,mask,0.5,1337,28.85335350036621,27.785037994384766,35.79680252075195,-1.0683155059814453,0.847553551197052,0.8574192523956299,0.9222080111503601
416:6:000000006,6,data/mtf2025_web_images/00000/000000006.jpg,In this image I can see a sandwich on the wooden board.,"In this image I can see a sandwich which is in green, red and white color.",mask,0.5,1337,28.762775421142578,30.49500274658203,40.96153259277344,1.7322273254394531,0.858159065246582,0.8432614803314209,0.9277805089950562
416:7:000000007,7,data/mtf2025_web_images/00000/000000007.jpg,"In this image we can see a table. On the table there are some food items, a knife and a bowl.","In this image, we can see a table. On the table, we can see a plate, a knife, a bowl and some food items.",mask,0.5,1337,25.424232482910156,25.70357894897461,31.139713287353516,0.2793464660644531,0.8475552797317505,0.8454341888427734,0.9764723777770996
416:8:000000008,8,data/mtf2025_web_images/00000/000000008.jpg,In this image we can see a plate on the table. On the plate there is a food item.,"In this image, we can see a sandwich on the plate.",mask,0.5,1337,27.125946044921875,29.27354621887207,23.058631896972656,2.1476001739501953,0.7380079627037048,0.7447922825813293,0.9509376287460327
416:9:000000009,9,data/mtf2025_web_images/00000/000000009.jpg,In this image we can see a plate containing food and a tomato.,"In this image, we can see a plate with some food and a few vegetables.",mask,0.5,1337,28.587522506713867,25.87234115600586,32.218082427978516,-2.715181350708008,0.8158522248268127,0.8138646483421326,0.9681063890457153
