sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed
416:0:000000000,000000000,data/mtf2025_web_images/00000/000000000.jpg,A sandwich with bacon and tomato on a wooden cutting board.,A sandwich with bacon and tomato on a wooden cutting board.,lowrank,0.1,1337
416:1:000000001,000000001,data/mtf2025_web_images/00000/000000001.jpg,"A plate of food with bacon, lettuce, and tomatoes on a white plate.","A plate of food with bacon, lettuce, and tomatoes on a white plate.",lowrank,0.1,1337
416:2:000000002,000000002,data/mtf2025_web_images/00000/000000002.jpg,A plate of food with a sandwich and a side of coleslaw.,A plate of food with a sandwich and a side of coleslaw.,lowrank,0.1,1337
416:3:000000003,000000003,data/mtf2025_web_images/00000/000000003.jpg,A sandwich with bacon and tomato on a brown tablecloth.,A sandwich with bacon and tomato on a brown tablecloth.,lowrank,0.1,1337
416:4:000000004,000000004,data/mtf2025_web_images/00000/000000004.jpg,A sandwich is cut in half and placed on a plate with lettuce and tomato.,A sandwich is cut in half and placed on a plate with lettuce and tomato.,lowrank,0.1,1337
416:5:000000005,000000005,data/mtf2025_web_images/00000/000000005.jpg,A close up of a sandwich with bacon and tomato on a brown background.,A close up of a sandwich with bacon and tomato on a brown background.,lowrank,0.1,1337
416:6:000000006,000000006,data/mtf2025_web_images/00000/000000006.jpg,"A sandwich with bacon, lettuce, and tomato on a wooden cutting board.","A sandwich with bacon, lettuce, and tomato on a wooden cutting board.",lowrank,0.1,1337
416:7:000000007,000000007,data/mtf2025_web_images/00000/000000007.jpg,A sandwich with bacon and lettuce is on a wooden table with a bowl of pepper and a cup of mayonnaise.,A sandwich with bacon and lettuce is on a wooden table with a knife and a bowl of sauce.,lowrank,0.1,1337
416:8:000000008,000000008,data/mtf2025_web_images/00000/000000008.jpg,"A white plate with a sandwich on it, the sandwich has bacon and tomato on it.","A white plate with a sandwich on it, the sandwich has bacon and tomato on it.",lowrank,0.1,1337
416:9:000000009,000000009,data/mtf2025_web_images/00000/000000009.jpg,A white plate with a slice of pizza on it.,A white plate with a slice of pizza on it.,lowrank,0.1,1337
416:10:000000010,000000010,data/mtf2025_web_images/00000/000000010.jpg,A sandwich is cut in half and placed in a paper bag.,"A sandwich is placed in a paper bag, with lettuce and tomato visible on the sandwich.",lowrank,0.1,1337
416:11:000000011,000000011,data/mtf2025_web_images/00000/000000011.jpg,A sandwich with bacon and tomato slices on a plate.,A sandwich with bacon and tomatoes is placed on a plate.,lowrank,0.1,1337
416:12:000000012,000000012,data/mtf2025_web_images/00000/000000012.jpg,"A wooden cutting board with a variety of food items on it, including a sandwich, tomatoes, lettuce, onions, and bacon.","A wooden cutting board with a variety of food items on it, including a sandwich, tomatoes, lettuce, onions, and bacon.",lowrank,0.1,1337
416:13:000000014,000000014,data/mtf2025_web_images/00000/000000014.jpg,"A sandwich cut in half is placed on a white plate, with lettuce and tomato visible in the middle of the sandwich.","A sandwich is cut in half and placed on a white plate, with a side of chips.",lowrank,0.1,1337
416:14:000000015,000000015,data/mtf2025_web_images/00000/000000015.jpg,"A sandwich with bacon, tomato, lettuce, and ketchup on a white plate.",A sandwich with bacon and tomato on a white plate.,lowrank,0.1,1337
416:15:000000016,000000016,data/mtf2025_web_images/00000/000000016.jpg,"A sandwich is cut in half and placed on a wooden plate, with a glass of lemonade next to it.","A sandwich is cut in half and placed on a wooden plate, with a glass of lemonade next to it.",lowrank,0.1,1337
416:16:000000017,000000017,data/mtf2025_web_images/00000/000000017.jpg,A sandwich is cut in half and placed on a table with tomatoes and lettuce.,A sandwich with bacon and lettuce is placed on a table with tomatoes and other vegetables.,lowrank,0.1,1337
416:17:000000018,000000018,data/mtf2025_web_images/00000/000000018.jpg,"A plate of food with a slice of bacon, lettuce, and tomato.","A plate of food with bacon, lettuce, and tomatoes.",lowrank,0.1,1337
416:18:000000019,000000019,data/mtf2025_web_images/00000/000000019.jpg,"A sandwich is cut in half and placed on a plate, with a tomato slice on the side.",A sandwich is cut in half and placed on a plate with a tomato slice on top.,lowrank,0.1,1337
416:19:000000020,000000020,data/mtf2025_web_images/00000/000000020.jpg,"A close up of a sandwich with lettuce and bacon, with a slice of tomato in the middle.","A close up of a sandwich with lettuce and bacon, with a slice of tomato in the middle.",lowrank,0.1,1337
416:20:000000022,000000022,data/mtf2025_web_images/00000/000000022.jpg,"A sandwich is cut in half and placed on a white plate, with a side of chips.","A sandwich is cut in half and placed on a white plate, with a side of chips.",lowrank,0.1,1337
416:21:000000023,000000023,data/mtf2025_web_images/00000/000000023.jpg,"A sandwich is placed on a plate, which is sitting on a table.","A sandwich is placed on a plate, which is sitting on a white table.",lowrank,0.1,1337
416:22:000000024,000000024,data/mtf2025_web_images/00000/000000024.jpg,"A close up of a sandwich with bacon, lettuce, and tomato on a green plate.","A close up of a sandwich with bacon, lettuce, and tomato on a green plate.",lowrank,0.1,1337
416:23:000000025,000000025,data/mtf2025_web_images/00000/000000025.jpg,"A sandwich is sitting on a white plate, which is placed on a table. The sandwich is cut in half and has lettuce and tomato on it.","A sandwich is sitting on a white plate, which is placed on a table. The sandwich is cut in half and has lettuce on top.",lowrank,0.1,1337
416:24:000000026,000000026,data/mtf2025_web_images/00000/000000026.jpg,"A close up of a sandwich with bacon, lettuce, and tomato on a bun.","A close up of a sandwich with bacon, lettuce, and tomato on a bun.",lowrank,0.1,1337
416:25:000000027,000000027,data/mtf2025_web_images/00000/000000027.jpg,"A sandwich is cut in half and placed on a wooden table, with a tomato slice on top of it.","A sandwich is cut in half and placed on a wooden table, with a tomato slice on top of it.",lowrank,0.1,1337
416:26:000000028,000000028,data/mtf2025_web_images/00000/000000028.jpg,A sandwich with bacon and tomato on a blue plate.,A sandwich with bacon and tomato on a blue plate.,lowrank,0.1,1337
