sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed
416:0:000000000,000000000,data/mtf2025_web_images/00000/000000000.jpg,"A hearty BLT sandwich, layered with crisp bacon, fresh tomato slices, and leafy lettuce on rustic whole-grain bread, sits invitingly on a light wooden cutting board atop a red-and-white checkered tablecloth, with a second slice of bread beside it and blurred background elements including whole tomatoes, more greens, and a small bowl of creamy dressing enhancing the rustic, appetizing scene.","A hearty BLT sandwich, layered with crispy bacon, fresh tomato slices, and crisp lettuce on rustic whole-grain bread, rests on a light wooden cutting board atop a red-and-white checkered tablecloth, with additional tomatoes, a bowl of creamy dressing, and a second slice of bread arranged around it to evoke a classic, homemade picnic or barbecue setting.",orthogonal,0.3,1337
416:1:000000001,000000001,data/mtf2025_web_images/00000/000000001.jpg,"A top-down view of a deconstructed sandwich or open-faced meal on a white square plate, featuring crispy bacon strips, fresh green lettuce leaves, sliced red tomatoes, and a wedge of yellow cheese arranged in an overlapping, casual composition against a clean white background.","A white square plate holds a deconstructed open-faced sandwich featuring crisp bacon strips, fresh green lettuce leaves, and halved cherry tomatoes, all arranged atop a slice of yellow cheese on a bed of white rice or bread, presented against a clean white background.",orthogonal,0.3,1337
416:2:000000002,000000002,data/mtf2025_web_images/00000/000000002.jpg,"A neatly arranged meal on a matte gray plate features a toasted triangular sandwich filled with lettuce, tomato, and creamy chicken salad, accompanied by a side of creamy coleslaw and two glossy cherry tomatoes, all set against a clean white background that emphasizes the fresh, appetizing presentation.","A neatly arranged meal on a matte gray plate features a toasted triangular sandwich filled with lettuce, tomato, and creamy dressing, accompanied by a scoop of creamy potato salad and two glossy cherry tomatoes, all set against a clean white background that emphasizes the food’s textures and colors.",orthogonal,0.3,1337
416:3:000000003,000000003,data/mtf2025_web_images/00000/000000003.jpg,"A close-up, appetizing shot features a rustic bacon and tomato sandwich on whole-grain bread, layered with crispy bacon strips, fresh red tomato slices, and crisp green lettuce, all resting on a brown cloth napkin atop a dark wooden surface, with a blurred background hinting at additional fresh ingredients like more tomatoes and greens.","A close-up, appetizing shot features a hearty sandwich made with rustic whole-grain bread, layered with crispy, glistening bacon strips, fresh red tomato slices, and crisp green lettuce, all resting on a brown cloth napkin atop a wooden surface, with blurred background elements including a whole tomato and more greens enhancing the fresh, homemade appeal.",orthogonal,0.3,1337
416:4:000000004,000000004,data/mtf2025_web_images/00000/000000004.jpg,"A hearty club sandwich made with toasted whole-grain bread, layered with crispy bacon, fresh lettuce, and tomato slices, is secured with a wooden skewer and served on a white plate alongside a lemon wedge, with a backdrop of vibrant red cherry tomatoes, a whole tomato, and a head of crisp green lettuce, all arranged on a rustic wooden surface to evoke a fresh, appetizing meal.","A hearty club sandwich made with dark rye bread, layered with crispy bacon, fresh lettuce, and tomato slices, is skewered with a wooden toothpick and served on a white plate alongside a lemon wedge, set against a rustic backdrop of whole tomatoes, a head of green lettuce, and a small bowl of creamy dressing.",orthogonal,0.3,1337
416:5:000000005,000000005,data/mtf2025_web_images/00000/000000005.jpg,"Against a rich, dark brown gradient background, a deconstructed burger is artfully arranged in vertical layers: crisp green lettuce leaves crown and base the stack, with two strips of crispy, caramelized bacon nestled above a translucent ring of red onion, all resting atop a vibrant, juicy slice of tomato.","Against a rich, dark brown gradient background, a deconstructed burger is artfully arranged in vertical layers: crisp green lettuce leaves crown and base the stack, flanked by two strips of caramelized, slightly charred bacon, a translucent ring of thinly sliced red onion, and a vibrant, juicy slice of tomato in the center — all suspended as if frozen mid-air to emphasize their textures and colors.",orthogonal,0.3,1337
416:6:000000006,000000006,data/mtf2025_web_images/00000/000000006.jpg,"A towering, mouthwatering BLT sandwich sits proudly on a rustic wooden cutting board, layered with crisp green lettuce, savory crispy bacon strips, and juicy ripe tomato slices, all nestled between two slices of toasted bread and drizzled with creamy mayonnaise.","A towering, mouthwatering BLT sandwich sits on a rustic wooden cutting board, layered with crisp bacon, fresh green lettuce, and thick slices of juicy red tomato, all nestled between two slices of toasted bread and drizzled with creamy mayonnaise.",orthogonal,0.3,1337
416:7:000000007,000000007,data/mtf2025_web_images/00000/000000007.jpg,"On a rustic wooden cutting board, a hearty open-faced sandwich is assembled with crispy bacon strips layered over creamy mayonnaise on toasted bread, surrounded by fresh ingredients including sliced red tomatoes, a leaf of crisp green lettuce on another slice of bread, a small glass bowl of mayonnaise, a knife with a silver blade, and a white ramekin filled with coarse black pepper, all arranged to suggest a casual, homemade meal in progress.","On a rustic wooden cutting board, an open-faced sandwich is being assembled with crispy bacon strips layered over a creamy white spread on toasted bread, surrounded by fresh sliced tomatoes, a small bowl of the same spread, a dish of cracked black pepper, and a head of crisp green lettuce, all arranged to suggest a gourmet breakfast or brunch preparation.",orthogonal,0.3,1337
416:8:000000008,000000008,data/mtf2025_web_images/00000/000000008.jpg,"A simple, appetizing open-faced sandwich sits centered on a plain white plate atop a light wood-grain table, featuring a slice of toasted bread topped with crispy bacon strips, fresh tomato slices, and a layer of shredded lettuce, all arranged neatly to highlight the savory ingredients under even, soft lighting.","A white plate holds a hearty open-faced sandwich featuring two slices of toasted bread layered with crispy bacon, fresh tomato slices, and shredded lettuce, all arranged neatly on a light wood-grain table surface.",orthogonal,0.3,1337
416:9:000000009,000000009,data/mtf2025_web_images/00000/000000009.jpg,"A white plate holds two open-faced sandwiches topped with fresh green lettuce, sliced red tomatoes, and strips of crispy bacon, arranged on a clean white surface with a few scattered tomato pieces and crumbs adding to the rustic, appetizing presentation.","A white plate holds two open-faced sandwiches topped with fresh green lettuce, sliced red tomatoes, and strips of crispy bacon, arranged on a clean white surface with a few scattered tomato pieces adding to the rustic, appetizing presentation.",orthogonal,0.3,1337
416:10:000000010,000000010,data/mtf2025_web_images/00000/000000010.jpg,"A freshly assembled club sandwich, cut diagonally into two halves and nestled in a white paper-lined cardboard tray, reveals layers of toasted bread, crisp lettuce, juicy tomato slices, and savory bacon or ham, all presented on a clean, bright white surface that emphasizes its appetizing, casual-dining appeal.","A mouthwatering club sandwich, sliced in half to reveal layers of crispy bacon, fresh lettuce, and creamy mayonnaise between toasted bread, is nestled in a white paper-lined takeout box against a clean, minimalist white background.",orthogonal,0.3,1337
416:11:000000011,000000011,data/mtf2025_web_images/00000/000000011.jpg,"A homemade sandwich is assembled on a white plate with blue rim, featuring two slices of toasted white bread — the top slice topped with four thick, juicy red tomato slices, and the bottom slice layered with several strips of crispy, browned bacon — all resting on a dark speckled countertop.","A close-up, top-down view of an open-faced sandwich on a white plate with blue stripes, featuring two slices of toasted white bread — the top slice topped with four vibrant red tomato slices, and the bottom slice layered with several strips of crispy, browned bacon — all resting on a dark speckled countertop.",orthogonal,0.3,1337
416:12:000000012,000000012,data/mtf2025_web_images/00000/000000012.jpg,"A rustic wooden platter holds a gourmet sandwich spread featuring two slices of toasted whole-grain bread, crispy dark bacon strips, a whole red tomato and a sliced one, fresh green lettuce leaves, thinly sliced red onions, a dollop of creamy white sauce (likely mayonnaise or aioli), and a small knife with a wooden handle resting beside the ingredients — all arranged on parchment paper for an elegant, ready-to-assemble presentation.","A rustic wooden serving board displays the components for a gourmet BLT sandwich: two slices of toasted whole-grain bread, crisp green romaine lettuce, vibrant red tomato slices, crispy bacon strips, thinly sliced red onions, and a dollop of creamy mayonnaise, all artfully arranged on parchment paper with a wooden-handled knife resting beside the toppings.",orthogonal,0.3,1337
416:13:000000014,000000014,data/mtf2025_web_images/00000/000000014.jpg,"A close-up, appetizing shot features a classic club sandwich cut into four triangular halves and stacked neatly on a white plate, showcasing layers of toasted whole-grain bread, crispy bacon, fresh lettuce, ripe tomato slices, and melted cheese, with a small garnish of potato chips perched atop the center, all set against a softly blurred green background that suggests an outdoor or garden setting.","Two triangular halves of a layered club sandwich, featuring toasted bread, crispy bacon, fresh lettuce, and juicy tomato slices, are arranged upright on a white plate with a decorative chip garnish, set against a softly blurred green background.",orthogonal,0.3,1337
416:14:000000015,000000015,data/mtf2025_web_images/00000/000000015.jpg,"A simple open-faced sandwich sits on a white square plate, featuring a slice of toasted bread topped with crisp green lettuce, a thick juicy red tomato slice, and several strips of cooked bacon, all arranged on a classic red-and-white checkered tablecloth that evokes a casual picnic or diner atmosphere.","A classic BLT sandwich — featuring crisp bacon, juicy tomato slices, and fresh green lettuce layered on a slice of toasted bread — rests invitingly on a white square plate, set against a vibrant red-and-white checkered tablecloth that evokes a nostalgic picnic or diner atmosphere.",orthogonal,0.3,1337
