sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed,clipscore_original,clipscore_perturbed,clipscore_gt,clipscore_drop,bertscore_original,bertscore_perturbed,bertscore_orig_vs_pert
416:0:000000000,0,data/mtf2025_web_images/00000/000000000.jpg,"A hearty BLT sandwich, layered with crisp bacon, fresh tomato slices, and leafy lettuce on rustic whole-grain bread, sits invitingly on a light wooden cutting board atop a red-and-white checkered tablecloth, with a second slice of bread beside it and blurred background elements including whole tomatoes, more greens, and a small bowl of creamy dressing enhancing the rustic, appetizing scene.","A hearty BLT sandwich, layered with crispy bacon, fresh tomato slices, and crisp lettuce on rustic whole-grain bread, rests on a light wooden cutting board atop a red-and-white checkered tablecloth, with additional tomatoes, a bowl of creamy dressing, and a second slice of bread arranged around it to evoke a classic, homemade picnic or barbecue setting.",orthogonal,0.3,1337,36.60599136352539,37.12696838378906,34.132938385009766,0.5209770202636719,0.8568220734596252,0.8554626703262329,0.9468400478363037
416:1:000000001,1,data/mtf2025_web_images/00000/000000001.jpg,"A top-down view of a deconstructed sandwich or open-faced meal on a white square plate, featuring crispy bacon strips, fresh green lettuce leaves, sliced red tomatoes, and a wedge of yellow cheese arranged in an overlapping, casual composition against a clean white background.","A white square plate holds a deconstructed open-faced sandwich featuring crisp bacon strips, fresh green lettuce leaves, and halved cherry tomatoes, all arranged atop a slice of yellow cheese on a bed of white rice or bread, presented against a clean white background.",orthogonal,0.3,1337,37.54164505004883,35.08957290649414,33.26264190673828,-2.4520721435546875,0.804137110710144,0.7997455596923828,0.9354018568992615
416:2:000000002,2,data/mtf2025_web_images/00000/000000002.jpg,"A neatly arranged meal on a matte gray plate features a toasted triangular sandwich filled with lettuce, tomato, and creamy chicken salad, accompanied by a side of creamy coleslaw and two glossy cherry tomatoes, all set against a clean white background that emphasizes the fresh, appetizing presentation.","A neatly arranged meal on a matte gray plate features a toasted triangular sandwich filled with lettuce, tomato, and creamy dressing, accompanied by a scoop of creamy potato salad and two glossy cherry tomatoes, all set against a clean white background that emphasizes the food’s textures and colors.",orthogonal,0.3,1337,42.11170959472656,41.755531311035156,38.33521270751953,-0.35617828369140625,0.8569566011428833,0.8369830250740051,0.9645308256149292
416:3:000000003,3,data/mtf2025_web_images/00000/000000003.jpg,"A close-up, appetizing shot features a rustic bacon and tomato sandwich on whole-grain bread, layered with crispy bacon strips, fresh red tomato slices, and crisp green lettuce, all resting on a brown cloth napkin atop a dark wooden surface, with a blurred background hinting at additional fresh ingredients like more tomatoes and greens.","A close-up, appetizing shot features a hearty sandwich made with rustic whole-grain bread, layered with crispy, glistening bacon strips, fresh red tomato slices, and crisp green lettuce, all resting on a brown cloth napkin atop a wooden surface, with blurred background elements including a whole tomato and more greens enhancing the fresh, homemade appeal.",orthogonal,0.3,1337,35.95343780517578,34.796470642089844,32.367652893066406,-1.1569671630859375,0.8192254304885864,0.8279115557670593,0.9586278200149536
416:4:000000004,4,data/mtf2025_web_images/00000/000000004.jpg,"A hearty club sandwich made with toasted whole-grain bread, layered with crispy bacon, fresh lettuce, and tomato slices, is secured with a wooden skewer and served on a white plate alongside a lemon wedge, with a backdrop of vibrant red cherry tomatoes, a whole tomato, and a head of crisp green lettuce, all arranged on a rustic wooden surface to evoke a fresh, appetizing meal.","A hearty club sandwich made with dark rye bread, layered with crispy bacon, fresh lettuce, and tomato slices, is skewered with a wooden toothpick and served on a white plate alongside a lemon wedge, set against a rustic backdrop of whole tomatoes, a head of green lettuce, and a small bowl of creamy dressing.",orthogonal,0.3,1337,37.295066833496094,35.95359802246094,34.22959899902344,-1.3414688110351562,0.839293360710144,0.8398127555847168,0.9478192329406738
416:5:000000005,5,data/mtf2025_web_images/00000/000000005.jpg,"Against a rich, dark brown gradient background, a deconstructed burger is artfully arranged in vertical layers: crisp green lettuce leaves crown and base the stack, with two strips of crispy, caramelized bacon nestled above a translucent ring of red onion, all resting atop a vibrant, juicy slice of tomato.","Against a rich, dark brown gradient background, a deconstructed burger is artfully arranged in vertical layers: crisp green lettuce leaves crown and base the stack, flanked by two strips of caramelized, slightly charred bacon, a translucent ring of thinly sliced red onion, and a vibrant, juicy slice of tomato in the center — all suspended as if frozen mid-air to emphasize their textures and colors.",orthogonal,0.3,1337,34.91036605834961,31.863117218017578,35.78974533081055,-3.0472488403320312,0.8443601727485657,0.8363048434257507,0.9553183317184448
416:6:000000006,6,data/mtf2025_web_images/00000/000000006.jpg,"A towering, mouthwatering BLT sandwich sits proudly on a rustic wooden cutting board, layered with crisp green lettuce, savory crispy bacon strips, and juicy ripe tomato slices, all nestled between two slices of toasted bread and drizzled with creamy mayonnaise.","A towering, mouthwatering BLT sandwich sits on a rustic wooden cutting board, layered with crisp bacon, fresh green lettuce, and thick slices of juicy red tomato, all nestled between two slices of toasted bread and drizzled with creamy mayonnaise.",orthogonal,0.3,1337,37.67508316040039,38.45795440673828,40.95467758178711,0.7828712463378906,0.8839868307113647,0.8885812163352966,0.9820297956466675
416:7:000000007,7,data/mtf2025_web_images/00000/000000007.jpg,"On a rustic wooden cutting board, a hearty open-faced sandwich is assembled with crispy bacon strips layered over creamy mayonnaise on toasted bread, surrounded by fresh ingredients including sliced red tomatoes, a leaf of crisp green lettuce on another slice of bread, a small glass bowl of mayonnaise, a knife with a silver blade, and a white ramekin filled with coarse black pepper, all arranged to suggest a casual, homemade meal in progress.","On a rustic wooden cutting board, an open-faced sandwich is being assembled with crispy bacon strips layered over a creamy white spread on toasted bread, surrounded by fresh sliced tomatoes, a small bowl of the same spread, a dish of cracked black pepper, and a head of crisp green lettuce, all arranged to suggest a gourmet breakfast or brunch preparation.",orthogonal,0.3,1337,34.91282653808594,35.79887008666992,31.14621353149414,0.8860435485839844,0.8265068531036377,0.834031879901886,0.9364476799964905
416:8:000000008,8,data/mtf2025_web_images/00000/000000008.jpg,"A simple, appetizing open-faced sandwich sits centered on a plain white plate atop a light wood-grain table, featuring a slice of toasted bread topped with crispy bacon strips, fresh tomato slices, and a layer of shredded lettuce, all arranged neatly to highlight the savory ingredients under even, soft lighting.","A white plate holds a hearty open-faced sandwich featuring two slices of toasted bread layered with crispy bacon, fresh tomato slices, and shredded lettuce, all arranged neatly on a light wood-grain table surface.",orthogonal,0.3,1337,32.0538215637207,32.65116882324219,23.055801391601562,0.5973472595214844,0.716059148311615,0.7176916003227234,0.9452158808708191
416:9:000000009,9,data/mtf2025_web_images/00000/000000009.jpg,"A white plate holds two open-faced sandwiches topped with fresh green lettuce, sliced red tomatoes, and strips of crispy bacon, arranged on a clean white surface with a few scattered tomato pieces and crumbs adding to the rustic, appetizing presentation.","A white plate holds two open-faced sandwiches topped with fresh green lettuce, sliced red tomatoes, and strips of crispy bacon, arranged on a clean white surface with a few scattered tomato pieces adding to the rustic, appetizing presentation.",orthogonal,0.3,1337,35.83226013183594,35.87332534790039,32.21418380737305,0.041065216064453125,0.7929325699806213,0.795000433921814,0.9941945672035217
