sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed,clipscore_original,clipscore_perturbed,clipscore_gt,clipscore_drop,bertscore_original,bertscore_perturbed,bertscore_orig_vs_pert
416:0:000000000,0,data/mtf2025_web_images/00000/000000000.jpg,"In this image we can see a sandwich on the wooden board. In the background we can see tomatoes, lettuce, knife and other objects.","In this image I can see a sandwich which is in red, white and green color. I can see the tomatoes, bread, tomato slices, onion slices and some other food items.",lowrank,0.01,1337,32.582374572753906,33.03456115722656,34.12458419799805,0.45218658447265625,0.8721094727516174,0.8422251343727112,0.9265231490135193
416:1:000000001,1,data/mtf2025_web_images/00000/000000001.jpg,In this image we can see a plate containing food.,"In this image I can see a food item which is in yellow, red, green and brown color.",lowrank,0.01,1337,27.538755416870117,28.640073776245117,33.25613021850586,1.101318359375,0.8272244930267334,0.8086346387863159,0.9201887845993042
416:2:000000002,2,data/mtf2025_web_images/00000/000000002.jpg,"In this image I can see a plate and on it I can see a sandwich, few tomatoes and a salad.",In this image I can see a plate in the center and on it I can see a sandwich and a salad.,lowrank,0.01,1337,34.12925720214844,33.78340148925781,38.34334182739258,-0.345855712890625,0.8596215844154358,0.8579286336898804,0.9705488681793213
416:3:000000003,3,data/mtf2025_web_images/00000/000000003.jpg,In this image we can see a sandwich on the table.,"In this image I can see a sandwich which is in brown, red and green color. Background is in brown color.",lowrank,0.01,1337,29.132076263427734,31.931976318359375,32.365692138671875,2.7999000549316406,0.8376092910766602,0.809114396572113,0.9146037697792053
416:4:000000004,4,data/mtf2025_web_images/00000/000000004.jpg,"In this image I can see a plate in the center and on it I can see a sandwich which is made of bread, tomatoes, lettuce and few other things. In the background I can see few tomatoes, few bowls and few other things.","In this image I can see a sandwich which is in green, red and brown color. I can see few tomatoes, few cucumbers and few other vegetables.",lowrank,0.01,1337,33.844261169433594,32.755393981933594,34.22566223144531,-1.0888671875,0.8344791531562805,0.8308331966400146,0.9205062985420227
416:5:000000005,5,data/mtf2025_web_images/00000/000000005.jpg,In this image we can see a food item.,"In this image I can see a food item which is in red, green, white and brown color.",lowrank,0.01,1337,28.85335350036621,30.712968826293945,35.79680252075195,1.8596153259277344,0.847553551197052,0.8402149677276611,0.9341157674789429
416:6:000000006,6,data/mtf2025_web_images/00000/000000006.jpg,In this image I can see a sandwich on the wooden board.,"In this image I can see a sandwich which is in green, red and brown color. Background is in black color.",lowrank,0.01,1337,28.762775421142578,32.3448371887207,40.96153259277344,3.582061767578125,0.858159065246582,0.8369672298431396,0.9138015508651733
416:7:000000007,7,data/mtf2025_web_images/00000/000000007.jpg,"In this image we can see a table. On the table there are some food items, a knife and a bowl.","In this image we can see a table. On the table there is a plate, knife, and a bowl. On the plate there is a sandwich.",lowrank,0.01,1337,25.424232482910156,28.845844268798828,31.139713287353516,3.421611785888672,0.8475552797317505,0.8445074558258057,0.9614281058311462
416:8:000000008,8,data/mtf2025_web_images/00000/000000008.jpg,In this image we can see a plate on the table. On the plate there is a food item.,"In this image I can see a sandwich which is in red, green and brown color.",lowrank,0.01,1337,27.125946044921875,29.88372230529785,23.058631896972656,2.7577762603759766,0.7380079627037048,0.7261322140693665,0.9079943299293518
416:9:000000009,9,data/mtf2025_web_images/00000/000000009.jpg,In this image we can see a plate containing food and a tomato.,In this image we can see a food item on the plate.,lowrank,0.01,1337,28.587522506713867,26.49981689453125,32.218082427978516,-2.087705612182617,0.8158522248268127,0.8143934607505798,0.9638229608535767
416:10:000000010,10,data/mtf2025_web_images/00000/000000010.jpg,In this image I can see a sandwich in the box.,In this image I can see a sandwich and a plate.,lowrank,0.01,1337,27.63630485534668,30.038148880004883,34.19572067260742,2.401844024658203,0.8375999927520752,0.8331474661827087,0.971888542175293
416:11:000000011,11,data/mtf2025_web_images/00000/000000011.jpg,In this image we can see a plate containing food items on the surface.,In this image we can see a food item on the plate.,lowrank,0.01,1337,25.183311462402344,27.055051803588867,34.0374755859375,1.8717403411865234,0.8543574213981628,0.8458430767059326,0.9759175777435303
416:12:000000012,12,data/mtf2025_web_images/00000/000000012.jpg,"In this image we can see a wooden plate containing some food items, a knife and a spoon.",In this image we can see a plate containing some food items.,lowrank,0.01,1337,27.833534240722656,28.77875518798828,32.927711486816406,0.945220947265625,0.8128699064254761,0.8064438104629517,0.9715281128883362
416:13:000000014,14,data/mtf2025_web_images/00000/000000014.jpg,In this image we can see a sandwich on the plate.,"In this image I can see a sandwich which is in brown, yellow, red and green color.",lowrank,0.01,1337,31.224721908569336,32.17643737792969,28.509389877319336,0.9517154693603516,0.8094218969345093,0.7861950397491455,0.9190790057182312
416:14:000000015,15,data/mtf2025_web_images/00000/000000015.jpg,In this image we can see a sandwich on the plate.,In this image we can see a sandwich on the table.,lowrank,0.01,1337,28.162277221679688,27.602981567382812,37.28262710571289,-0.559295654296875,0.8533910512924194,0.852626621723175,0.9924637675285339
416:15:000000016,16,data/mtf2025_web_images/00000/000000016.jpg,In this image there is a table. On the table there is a plate. On the plate there is a sandwich. Beside the plate there is a jar. In the jar there is a drink.,"In this image I can see a table and on it I can see a plate, a glass, a sandwich, a sandwich, a sandwich and a sandwich.",lowrank,0.01,1337,36.070499420166016,33.48283004760742,34.0056037902832,-2.5876693725585938,0.817402720451355,0.8257073163986206,0.9060278534889221
416:16:000000017,17,data/mtf2025_web_images/00000/000000017.jpg,In this image we can see a tray with some food items on it.,In this image we can see a food item on the plate.,lowrank,0.01,1337,26.307559967041016,27.36712074279785,35.564579010009766,1.059560775756836,0.8330173492431641,0.8347707390785217,0.9657081365585327
416:17:000000018,18,data/mtf2025_web_images/00000/000000018.jpg,In this image we can see a plate containing some food items.,In this image I can see a plate in which there are some vegetables.,lowrank,0.01,1337,28.29369354248047,29.298337936401367,43.21563720703125,1.0046443939208984,0.8467287421226501,0.8504330515861511,0.9594566226005554
416:18:000000019,19,data/mtf2025_web_images/00000/000000019.jpg,In this image we can see a sandwich and tomato slices on the plate.,"In this image I can see a sandwich which is in red, yellow and green color.",lowrank,0.01,1337,37.41400909423828,32.84217834472656,36.738277435302734,-4.571830749511719,0.8753086924552917,0.8424047231674194,0.9202203154563904
416:19:000000020,20,data/mtf2025_web_images/00000/000000020.jpg,In this image we can see a sandwich.,In this image we can see a sandwich.,lowrank,0.01,1337,32.71247863769531,32.71247863769531,31.768644332885742,0.0,0.8944143652915955,0.8944143056869507,1.0
416:20:000000022,22,data/mtf2025_web_images/00000/000000022.jpg,"In this image there is a table, on that table there is a plate, in that plate there is a sandwich, chips and a fruit, in the background there is a table cloth.","In this image we can see a sandwich, tomato slices, potato chips and some other food items on the table.",lowrank,0.01,1337,30.01466941833496,34.00559997558594,31.971607208251953,3.9909305572509766,0.8109323382377625,0.8507614731788635,0.902271032333374
416:21:000000023,23,data/mtf2025_web_images/00000/000000023.jpg,A sandwich is on a plate on a white table.,In this image I can see a sandwich which is in green and brown color and the sandwich is on the plate.,lowrank,0.01,1337,36.11206817626953,38.174705505371094,39.52320861816406,2.0626373291015625,0.874279797077179,0.8466243743896484,0.8993164300918579
416:22:000000024,24,data/mtf2025_web_images/00000/000000024.jpg,In this image we can see a food item on the plate.,In this image I can see a food item and some text.,lowrank,0.01,1337,28.094690322875977,28.063302993774414,35.1092414855957,-0.0313873291015625,0.8416880965232849,0.8367100358009338,0.9590162038803101
416:23:000000025,25,data/mtf2025_web_images/00000/000000025.jpg,"In this image I can see a plate and on it I can see a sandwich which is in brown, red, green and white color.","In this image I can see a sandwich which is in brown, green and red color. Background is in white color.",lowrank,0.01,1337,31.58746337890625,33.58808898925781,32.6685791015625,2.0006256103515625,0.8342044353485107,0.8286182880401611,0.9554977416992188
416:24:000000026,26,data/mtf2025_web_images/00000/000000026.jpg,In this image we can see a sandwich.,In this image we can see a sandwich.,lowrank,0.01,1337,31.0770263671875,31.0770263671875,33.3875846862793,0.0,0.843305230140686,0.843305230140686,1.0
