sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed
416:0:000000000,000000000,data/mtf2025_web_images/00000/000000000.jpg,"The image showcases a freshly prepared BLT sandwich with crispy bacon, juicy tomato slices, fresh lettuce, and creamy mayonnaise spread on whole-grain bread, all set on a wooden cutting board against a rustic background featuring additional ingredients like tomatoes and herbs.","可能可能是因为， they, This植物的三 sandwich with sandwich bread again.般, sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again. sandwich bread again 、 The Iberian sandwich is fresh and delicious.",mask,0.7,1337
416:1:000000001,000000001,data/mtf2025_web_images/00000/000000001.jpg,"The image showcases a fresh BLT sandwich on a white plate, featuring crisp lettuce, juicy tomato slices, crispy bacon strips, and melted cheese, all neatly arranged on a toasted bread base.","a,",mask,0.7,1337
416:2:000000002,000000002,data/mtf2025_web_images/00000/000000002.jpg,"The image showcases a neatly arranged meal consisting of a toasted sandwich with fresh lettuce and tomato, a serving of creamy chicken salad, and two small cherry tomatoes, all presented on a simple gray plate against a clean white background.","可能可能是因为, an, This возможно",mask,0.7,1337
416:3:000000003,000000003,data/mtf2025_web_images/00000/000000003.jpg,"The image showcases a delectable bacon sandwich with crispy bacon strips, fresh tomato slices, crisp lettuce, and whole grain bread, all neatly arranged on a dark wooden surface with a blurred background of vegetables, emphasizing the appetizing and rustic presentation.","可能可能的。可能, the第二 another layer. another layer of salad withing a sandwich",mask,0.7,1337
416:4:000000004,000000004,data/mtf2025_web_images/00000/000000004.jpg,"The image showcases a freshly prepared BLT sandwich served on a white plate, accompanied by a side of sliced tomatoes, a small bowl of mayonnaise, and a whole tomato, all set against a backdrop of fresh lettuce and a wooden table.","可能可能需要，一段可能的进一步提问：关于图片, 请提供更多的上下文或者具体的问题。",mask,0.7,1337
416:5:000000005,000000005,data/mtf2025_web_images/00000/000000005.jpg,"The image showcases a vibrant and appetizing arrangement of fresh ingredients including crisp green lettuce leaves, juicy slices of red tomato, a layer of translucent white onion, and crispy bacon strips, all floating against a dark brown background.",可能可能的。乎,mask,0.7,1337
416:6:000000006,000000006,data/mtf2025_web_images/00000/000000006.jpg,"The image showcases a mouthwatering BLT sandwich, featuring layers of crispy bacon, fresh green lettuce, creamy mayonnaise, and juicy tomato slices, all nestled between two slices of toasted bread, presented on a wooden cutting board.","可能可能牛肉, laminate, 를 사용합니다.可能、otohni lehetőségek nyitódnak. new.",mask,0.7,1337
416:7:000000007,000000007,data/mtf2025_web_images/00000/000000007.jpg,"The image showcases a close-up of a sandwich preparation process, featuring slices of fresh tomato, crispy bacon, and a leafy green lettuce atop a slice of bread spread with creamy mayonnaise, all set against a rustic wooden cutting board, with small bowls of additional ingredients like pepper and a butter knife nearby.","可能, after a bamboo laminate sandwich",mask,0.7,1337
416:8:000000008,000000008,data/mtf2025_web_images/00000/000000008.jpg,"The image shows a small, square sandwich placed on a white plate, which is set on a light wooden surface. The sandwich consists of crispy bacon strips, slices of fresh tomato, and a layer of green lettuce, all neatly arranged between two pieces of toasted bread.","可能, sandwich, an, sandwich",mask,0.7,1337
416:9:000000009,000000009,data/mtf2025_web_images/00000/000000009.jpg,"The image showcases a plate with two slices of toasted bread topped with fresh lettuce, juicy tomato slices, and crispy bacon, creating a simple yet appetizing BLT sandwich.","可能, lettuce salad with chicken and salad.4",mask,0.7,1337
416:10:000000010,000000010,data/mtf2025_web_images/00000/000000010.jpg,"The image shows two club sandwiches nestled in a white paper container lined with parchment paper, placed on a light-colored surface, with fresh ingredients like lettuce, tomato slices, and possibly bacon visible between the layers of bread.","可能可能需要, a certain.223 top view",mask,0.7,1337
416:11:000000011,000000011,data/mtf2025_web_images/00000/000000011.jpg,"The image shows a close-up of a sandwich on a white plate with blue stripes, placed on a dark countertop. The sandwich consists of a bottom layer of toasted bread, topped with crispy bacon strips, followed by a layer of sliced fresh tomatoes, all resting on a top slice of bread.","可能可能是因为, tomatoium tomatoes bacon and bacon tomatoes",mask,0.7,1337
416:12:000000012,000000012,data/mtf2025_web_images/00000/000000012.jpg,"The image showcases a rustic wooden plate filled with fresh ingredients for a sandwich, including crispy bacon strips, juicy sliced tomatoes, a dollop of creamy mayonnaise, crisp lettuce leaves, red onion slices, and two pieces of toasted bread, all arranged neatly on parchment paper.","可能可能图片 may食用牛肉。 beef , 可能牛肉。 � HEDB  에,牛肉的。",mask,0.7,1337
416:13:000000014,000000014,data/mtf2025_web_images/00000/000000014.jpg,"The image showcases a close-up of a freshly made BLT sandwich cut into two triangular halves, served on a white plate with a side of golden-brown potato chips, set against a blurred green outdoor background.","可能可能是因为, a sandwich sandwiched between stack of breads This is a sandwich sandwich; Prep with bread2;2 3 4 52 53 54 52 980 10 11 12 12 13 12 14 15 16 17 18 22 23 24 25.

25

This is22 54 9954 90 50 54 95 99 10 11 12 13 14 15 16 17 18",mask,0.7,1337
416:14:000000015,000000015,data/mtf2025_web_images/00000/000000015.jpg,"The image showcases a classic BLT sandwich served on a white plate, featuring crispy bacon strips, fresh green lettuce, a juicy red tomato slice, and a slice of toasted bread, all set against a vibrant red-and-white checkered tablecloth backdrop.",可能ium sandwich sandwich with sandwich,mask,0.7,1337
416:15:000000016,000000016,data/mtf2025_web_images/00000/000000016.jpg,"The image showcases a delectable club sandwich served on a wooden plate alongside crispy potato chips, accompanied by a refreshing glass of lemonade with a lime wedge and a straw, all set against a marble countertop backdrop.","可能可能是因为, he, sandwich",mask,0.7,1337
416:16:000000017,000000017,data/mtf2025_web_images/00000/000000017.jpg,"The image showcases a freshly prepared BLT sandwich with crispy bacon strips, fresh lettuce, and a slice of toasted bread, surrounded by an assortment of colorful cherry tomatoes in various stages of ripeness, all arranged on a rustic metal surface.","可能, tomatoes, an томаьтo гeдaя cтepнoгo гoлядкa пoд нeбом. гoлядкa пoтeрянных надежд гoддa. some of this. Some reality. Some reality. Some reality. Some reality. Some reality. Some reality. Some reality. Some reality. ""I can get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get"" ""get""",mask,0.7,1337
