sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed,clipscore_original,clipscore_perturbed,clipscore_gt,clipscore_drop,bertscore_original,bertscore_perturbed,bertscore_orig_vs_pert
416:0:000000000,0,data/mtf2025_web_images/00000/000000000.jpg,"The image showcases a freshly prepared BLT sandwich with crispy bacon, juicy tomato slices, fresh lettuce, and creamy mayonnaise spread on whole-grain bread, all set on a wooden cutting board against a rustic background featuring additional ingredients like tomatoes and herbs.","The image shows a sandwich with bacon, lettuce, and tomato on a wooden cutting board. The sandwich is being prepared on a toaster. The bacon is fried, the lettuce is added to the tomato, and the breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded breaded",mask,0.5,1337,37.7747917175293,34.77312088012695,34.12458419799805,-3.0016708374023438,0.8795191049575806,0.7543804049491882,0.7736107707023621
416:1:000000001,1,data/mtf2025_web_images/00000/000000001.jpg,"The image showcases a fresh BLT sandwich on a white plate, featuring crisp lettuce, juicy tomato slices, crispy bacon strips, and melted cheese, all neatly arranged on a toasted bread base.",,mask,0.5,1337,36.550601959228516,,33.25613021850586,,0.8212860226631165,,
416:2:000000002,2,data/mtf2025_web_images/00000/000000002.jpg,"The image showcases a neatly arranged meal consisting of a toasted sandwich with fresh lettuce and tomato, a serving of creamy chicken salad, and two small cherry tomatoes, all presented on a simple gray plate against a clean white background.","2 food, a tomato sandwich",mask,0.5,1337,42.82707214355469,32.51127624511719,38.34334182739258,-10.3157958984375,0.8439088463783264,0.8499927520751953,0.8472707271575928
416:3:000000003,3,data/mtf2025_web_images/00000/000000003.jpg,"The image showcases a delectable bacon sandwich with crispy bacon strips, fresh tomato slices, crisp lettuce, and whole grain bread, all neatly arranged on a dark wooden surface with a blurred background of vegetables, emphasizing the appetizing and rustic presentation.",bacon cheeseburger,mask,0.5,1337,39.72090148925781,29.465293884277344,32.365692138671875,-10.255607604980469,0.8261672258377075,0.8253310918807983,0.8303568959236145
416:4:000000004,4,data/mtf2025_web_images/00000/000000004.jpg,"The image showcases a freshly prepared BLT sandwich served on a white plate, accompanied by a side of sliced tomatoes, a small bowl of mayonnaise, and a whole tomato, all set against a backdrop of fresh lettuce and a wooden table.",tomato another,mask,0.5,1337,38.44733428955078,25.17304801940918,34.22566223144531,-13.274286270141602,0.8406336307525635,0.8366336822509766,0.8101990222930908
416:5:000000005,5,data/mtf2025_web_images/00000/000000005.jpg,"The image showcases a vibrant and appetizing arrangement of fresh ingredients including crisp green lettuce leaves, juicy slices of red tomato, a layer of translucent white onion, and crispy bacon strips, all floating against a dark brown background.",2 lettuce leaves. lettuces leafs,mask,0.5,1337,37.38951873779297,31.463438034057617,35.79680252075195,-5.926080703735352,0.871550440788269,0.8491330146789551,0.8397833704948425
416:6:000000006,6,data/mtf2025_web_images/00000/000000006.jpg,"The image showcases a mouthwatering BLT sandwich, featuring layers of crispy bacon, fresh green lettuce, creamy mayonnaise, and juicy tomato slices, all nestled between two slices of toasted bread, presented on a wooden cutting board.",scene:,mask,0.5,1337,40.722957611083984,22.063228607177734,40.96153259277344,-18.65972900390625,0.901848554611206,0.8009381294250488,0.7978810667991638
416:7:000000007,7,data/mtf2025_web_images/00000/000000007.jpg,"The image showcases a close-up of a sandwich preparation process, featuring slices of fresh tomato, crispy bacon, and a leafy green lettuce atop a slice of bread spread with creamy mayonnaise, all set against a rustic wooden cutting board, with small bowls of additional ingredients like pepper and a butter knife nearby.",,mask,0.5,1337,37.076290130615234,,31.139713287353516,,0.8311395049095154,,
416:8:000000008,8,data/mtf2025_web_images/00000/000000008.jpg,"The image shows a small, square sandwich placed on a white plate, which is set on a light wooden surface. The sandwich consists of crispy bacon strips, slices of fresh tomato, and a layer of green lettuce, all neatly arranged between two pieces of toasted bread.",an image of a sandwich,mask,0.5,1337,35.889488220214844,30.008819580078125,23.058631896972656,-5.880668640136719,0.7185383439064026,0.7523516416549683,0.8707624077796936
416:9:000000009,9,data/mtf2025_web_images/00000/000000009.jpg,"The image showcases a plate with two slices of toasted bread topped with fresh lettuce, juicy tomato slices, and crispy bacon, creating a simple yet appetizing BLT sandwich.",,mask,0.5,1337,34.2304801940918,,32.218082427978516,,0.8155806660652161,,
416:10:000000010,10,data/mtf2025_web_images/00000/000000010.jpg,"The image shows two club sandwiches nestled in a white paper container lined with parchment paper, placed on a light-colored surface, with fresh ingredients like lettuce, tomato slices, and possibly bacon visible between the layers of bread.",可能 transpiration of transpiration,mask,0.5,1337,36.71565246582031,20.554805755615234,34.19572067260742,-16.160846710205078,0.8185936808586121,0.7795113921165466,0.7800083756446838
416:11:000000011,11,data/mtf2025_web_images/00000/000000011.jpg,"The image shows a close-up of a sandwich on a white plate with blue stripes, placed on a dark countertop. The sandwich consists of a bottom layer of toasted bread, topped with crispy bacon strips, followed by a layer of sliced fresh tomatoes, all resting on a top slice of bread.",bacon cheeseburger,mask,0.5,1337,36.73509979248047,29.954898834228516,34.0374755859375,-6.780200958251953,0.8401342034339905,0.9007309675216675,0.8192402124404907
416:12:000000012,12,data/mtf2025_web_images/00000/000000012.jpg,"The image showcases a rustic wooden plate filled with fresh ingredients for a sandwich, including crispy bacon strips, juicy sliced tomatoes, a dollop of creamy mayonnaise, crisp lettuce leaves, red onion slices, and two pieces of toasted bread, all arranged neatly on parchment paper.",tomato another,mask,0.5,1337,38.0746955871582,22.803983688354492,32.927711486816406,-15.270711898803711,0.8167427182197571,0.786643922328949,0.7984547019004822
416:13:000000014,14,data/mtf2025_web_images/00000/000000014.jpg,"The image showcases a close-up of a freshly made BLT sandwich cut into two triangular halves, served on a white plate with a side of golden-brown potato chips, set against a blurred green outdoor background.","a bamboo, a sandwich made from by two slices of bacon and lettuceleaves. sandwich",mask,0.5,1337,36.94464111328125,32.553016662597656,28.509389877319336,-4.391624450683594,0.7837046980857849,0.7890517711639404,0.8433734178543091
416:14:000000015,15,data/mtf2025_web_images/00000/000000015.jpg,"The image showcases a classic BLT sandwich served on a white plate, featuring crispy bacon strips, fresh green lettuce, a juicy red tomato slice, and a slice of toasted bread, all set against a vibrant red-and-white checkered tablecloth backdrop.","The image shows a plate with a sandwich on it. The fillings of the sandwich include lettuce, tomato slices, and bacon. The sandwich is on a white plate., the bacon is crispy. thick.

You notice two of these.

tomato slices, and the lettuce are visible.

from the bacon.",mask,0.5,1337,34.340797424316406,33.85546112060547,37.28262710571289,-0.4853363037109375,0.8407183885574341,0.8329519033432007,0.8552080392837524
416:15:000000016,16,data/mtf2025_web_images/00000/000000016.jpg,"The image showcases a delectable club sandwich served on a wooden plate alongside crispy potato chips, accompanied by a refreshing glass of lemonade with a lime wedge and a straw, all set against a marble countertop backdrop.",please,mask,0.5,1337,44.02172088623047,19.69362449645996,34.0056037902832,-24.328096389770508,0.8524535894393921,0.7943640947341919,0.7973266839981079
