sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed
416:0:000000000,000000000,data/mtf2025_web_images/00000/000000000.jpg,"A hearty BLT sandwich, layered with crisp bacon, fresh tomato slices, and leafy lettuce on rustic whole-grain bread, sits invitingly on a light wooden cutting board atop a red-and-white checkered tablecloth, with a second slice of bread beside it and blurred background elements including whole tomatoes, more greens, and a small bowl of creamy dressing enhancing the rustic, appetizing scene.","A hearty BLT sandwich, layered with crisp bacon, fresh tomato slices, and leafy lettuce on rustic whole-grain bread, sits invitingly on a light wooden cutting board atop a red-and-white checkered tablecloth, with a second slice of bread beside it and blurred background elements including whole tomatoes, more greens, and a small bowl of creamy dressing enhancing the rustic, appetizing scene.",none,0.5,1337
416:1:000000001,000000001,data/mtf2025_web_images/00000/000000001.jpg,"A top-down view of a deconstructed sandwich or open-faced meal on a white square plate, featuring crispy bacon strips, fresh green lettuce leaves, sliced red tomatoes, and a wedge of yellow cheese arranged in an overlapping, casual composition against a clean white background.","A top-down view of a deconstructed sandwich or open-faced meal on a white square plate, featuring crispy bacon strips, fresh green lettuce leaves, sliced red tomatoes, and a wedge of yellow cheese arranged in an overlapping, casual composition against a clean white background.",none,0.5,1337
416:2:000000002,000000002,data/mtf2025_web_images/00000/000000002.jpg,"A neatly arranged meal on a matte gray plate features a toasted triangular sandwich filled with lettuce, tomato, and creamy chicken salad, accompanied by a side of creamy coleslaw and two glossy cherry tomatoes, all set against a clean white background that emphasizes the fresh, appetizing presentation.","A neatly arranged meal on a matte gray plate features a toasted triangular sandwich filled with lettuce, tomato, and creamy chicken salad, accompanied by a side of creamy coleslaw and two glossy cherry tomatoes, all set against a clean white background that emphasizes the food’s textures and colors.",none,0.5,1337
416:3:000000003,000000003,data/mtf2025_web_images/00000/000000003.jpg,"A close-up, appetizing shot features a rustic bacon and tomato sandwich on whole-grain bread, layered with crispy bacon strips, fresh red tomato slices, and crisp green lettuce, all resting on a brown cloth napkin atop a dark wooden surface, with a blurred background hinting at additional fresh ingredients like more tomatoes and greens.","A close-up, appetizing shot features a rustic bacon and tomato sandwich on whole-grain bread, layered with crispy bacon strips, fresh red tomato slices, and crisp green lettuce, all resting on a brown cloth napkin atop a dark wooden surface, with a blurred background hinting at additional fresh ingredients like a whole tomato and leafy greens.",none,0.5,1337
416:4:000000004,000000004,data/mtf2025_web_images/00000/000000004.jpg,"A hearty club sandwich made with toasted whole-grain bread, layered with crispy bacon, fresh lettuce, and tomato slices, is secured with a wooden skewer and served on a white plate alongside a lemon wedge, with a backdrop of vibrant red cherry tomatoes, a whole tomato, and a head of crisp green lettuce, all arranged on a rustic wooden surface to evoke a fresh, appetizing meal.","A hearty club sandwich made with toasted whole-grain bread, layered with crispy bacon, fresh lettuce, and tomato slices, is secured with a wooden skewer and served on a white plate alongside a lemon wedge, with a backdrop of vibrant red cherry tomatoes, a whole tomato, and a head of crisp green lettuce, all arranged on a rustic wooden surface to evoke a fresh, appetizing meal.",none,0.5,1337
416:5:000000005,000000005,data/mtf2025_web_images/00000/000000005.jpg,"Against a rich, dark brown gradient background, a deconstructed burger is artfully arranged in vertical layers: crisp green lettuce leaves crown and base the stack, with two strips of crispy, caramelized bacon nestled above a translucent ring of red onion, all resting atop a vibrant, juicy slice of tomato.","Against a rich, dark brown gradient background, a deconstructed burger is artfully arranged in vertical layers: crisp green lettuce leaves crown and base the stack, with two strips of crispy, caramelized bacon nestled above a translucent ring of thinly sliced red onion, all resting atop a vibrant, juicy slice of tomato that sits just above the bottom lettuce leaf — each component suspended mid-air to emphasize texture, color contrast, and culinary appeal.",none,0.5,1337
416:6:000000006,000000006,data/mtf2025_web_images/00000/000000006.jpg,"A towering, mouthwatering BLT sandwich sits proudly on a rustic wooden cutting board, layered with crisp green lettuce, savory crispy bacon strips, and juicy ripe tomato slices, all nestled between two slices of toasted bread and drizzled with creamy mayonnaise.","A towering, mouthwatering BLT sandwich sits proudly on a rustic wooden cutting board, layered with crisp green lettuce, savory crispy bacon strips, and thick juicy slices of ripe red tomato, all nestled between two slices of toasted bread and drizzled with creamy white mayonnaise.",none,0.5,1337
416:7:000000007,000000007,data/mtf2025_web_images/00000/000000007.jpg,"On a rustic wooden cutting board, a hearty open-faced sandwich is assembled with crispy bacon strips layered over creamy mayonnaise on toasted bread, surrounded by fresh ingredients including sliced red tomatoes, a leaf of crisp green lettuce on another slice of bread, a small glass bowl of mayonnaise, a knife with a silver blade, and a white ramekin filled with coarse black pepper, all arranged to suggest a casual, homemade meal in progress.","On a rustic wooden cutting board, a hearty open-faced sandwich is assembled with crispy bacon strips layered over creamy mayonnaise on toasted bread, surrounded by fresh ingredients including sliced red tomatoes, a leaf of crisp green lettuce on another slice of bread, a small glass bowl of mayonnaise, a knife with a silver blade, and a white ramekin filled with coarse black pepper, all arranged to suggest a casual, homemade meal in progress.",none,0.5,1337
416:8:000000008,000000008,data/mtf2025_web_images/00000/000000008.jpg,"A simple, appetizing open-faced sandwich sits centered on a plain white plate atop a light wood-grain table, featuring a slice of toasted bread topped with crispy bacon strips, fresh tomato slices, and a layer of shredded lettuce, all arranged neatly to highlight the savory ingredients under even, soft lighting.","A simple, appetizing open-faced sandwich sits centered on a plain white plate atop a light wood-grain table, featuring a slice of toasted bread topped with crispy bacon strips, fresh tomato slices, and a layer of shredded lettuce, all arranged neatly to highlight the savory ingredients under even, soft lighting.",none,0.5,1337
416:9:000000009,000000009,data/mtf2025_web_images/00000/000000009.jpg,"A white plate holds two open-faced sandwiches topped with fresh green lettuce, sliced red tomatoes, and strips of crispy bacon, arranged on a clean white surface with a few scattered tomato pieces and crumbs adding to the rustic, appetizing presentation.","A white plate holds two open-faced sandwiches topped with fresh green lettuce, sliced red tomatoes, and strips of crispy bacon, arranged on a clean white background with a few scattered tomato pieces adding to the rustic, appetizing presentation.",none,0.5,1337
416:10:000000010,000000010,data/mtf2025_web_images/00000/000000010.jpg,"A freshly assembled club sandwich, cut diagonally into two halves and nestled in a white paper-lined cardboard tray, reveals layers of toasted bread, crisp lettuce, juicy tomato slices, and savory bacon or ham, all presented on a clean, bright white surface that emphasizes its appetizing, casual-dining appeal.","A freshly assembled club sandwich, cut diagonally into two halves and nestled in a white paper-lined cardboard tray, is presented on a clean white surface, showcasing layers of toasted bread, crisp lettuce, juicy tomato slices, savory bacon, and creamy mayonnaise.",none,0.5,1337
416:11:000000011,000000011,data/mtf2025_web_images/00000/000000011.jpg,"A homemade sandwich is assembled on a white plate with blue rim, featuring two slices of toasted white bread — the top slice topped with four thick, juicy red tomato slices, and the bottom slice layered with several strips of crispy, browned bacon — all resting on a dark speckled countertop.","A close-up, top-down view of an open-faced sandwich on a white plate with blue rimmed edges, featuring two slices of toasted white bread — the top slice layered with five thick, juicy red tomato slices, and the bottom slice topped with three strips of crispy, browned bacon — all resting on a dark speckled granite countertop.",none,0.5,1337
416:12:000000012,000000012,data/mtf2025_web_images/00000/000000012.jpg,"A rustic wooden platter holds a gourmet sandwich spread featuring two slices of toasted whole-grain bread, crispy dark bacon strips, a whole red tomato and a sliced one, fresh green lettuce leaves, thinly sliced red onions, a dollop of creamy white sauce (likely mayonnaise or aioli), and a small knife with a wooden handle resting beside the ingredients — all arranged on parchment paper for an elegant, ready-to-assemble presentation.","A rustic wooden platter holds a gourmet sandwich spread featuring two slices of toasted whole-grain bread, crispy dark bacon strips, a whole red tomato and a sliced one, fresh green lettuce leaves, thinly sliced red onions, a dollop of creamy white sauce (likely mayonnaise or aioli), and a small knife with a wooden handle resting beside the ingredients — all arranged on parchment paper for an elegant, ready-to-assemble presentation.",none,0.5,1337
416:13:000000014,000000014,data/mtf2025_web_images/00000/000000014.jpg,"A close-up, appetizing shot features a classic club sandwich cut into four triangular halves and stacked neatly on a white plate, showcasing layers of toasted whole-grain bread, crispy bacon, fresh lettuce, ripe tomato slices, and melted cheese, with a small garnish of potato chips perched atop the center, all set against a softly blurred green background that suggests an outdoor or garden setting.","A classic club sandwich, cut into four triangular halves and stacked with layers of toasted bread, crispy bacon, fresh lettuce, and juicy tomato slices, is artfully arranged on a white plate with a small garnish of potato chips on top, set against a softly blurred green outdoor background that suggests a pleasant dining setting.",none,0.5,1337
416:14:000000015,000000015,data/mtf2025_web_images/00000/000000015.jpg,"A simple open-faced sandwich sits on a white square plate, featuring a slice of toasted bread topped with crisp green lettuce, a thick juicy red tomato slice, and several strips of cooked bacon, all arranged on a classic red-and-white checkered tablecloth that evokes a casual picnic or diner atmosphere.","A simple open-faced sandwich sits on a white square plate, featuring a slice of toasted bread topped with crisp green lettuce, a thick juicy red tomato slice, and several strips of cooked bacon with visible fat and charred edges, all arranged on a classic red-and-white checkered tablecloth that evokes a casual picnic or diner atmosphere.",none,0.5,1337
