sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed
416:0:000000000,000000000,data/mtf2025_web_images/00000/000000000.jpg,"A hearty BLT sandwich, layered with crisp bacon, fresh tomato slices, and leafy lettuce on rustic whole-grain bread, sits invitingly on a light wooden cutting board atop a red-and-white checkered tablecloth, with a second slice of bread beside it and blurred background elements including whole tomatoes, more greens, and a small bowl of creamy dressing enhancing the rustic, appetizing scene.","A close-up, appetizing shot features a rustic sandwich made with a thick slice of toasted bread, generously topped with crispy, golden-brown bacon strips, set against a softly blurred background of fresh green lettuce and a ripe red tomato, evoking a sense of homemade comfort food.",mask,0.7,1337
416:1:000000001,000000001,data/mtf2025_web_images/00000/000000001.jpg,"A top-down view of a deconstructed sandwich or open-faced meal on a white square plate, featuring crispy bacon strips, fresh green lettuce leaves, sliced red tomatoes, and a wedge of yellow cheese arranged in an overlapping, casual composition against a clean white background.","A top-down view of a simple open-faced sandwich on a white plate, featuring two strips of crispy bacon layered over a slice of yellow cheese and fresh green lettuce, with diced red tomatoes scattered on top, all presented against a clean white background.",mask,0.7,1337
416:2:000000002,000000002,data/mtf2025_web_images/00000/000000002.jpg,"A neatly arranged meal on a matte gray plate features a toasted triangular sandwich filled with lettuce, tomato, and creamy chicken salad, accompanied by a side of creamy coleslaw and two glossy cherry tomatoes, all set against a clean white background that emphasizes the fresh, appetizing presentation.","A neatly arranged meal on a white plate features a triangular sandwich made with toasted bread, filled with layers of green lettuce, creamy white cheese or spread, and possibly deli meat, accompanied by a small mound of creamy potato salad and two glossy red cherry tomatoes, all set against a clean, neutral background that emphasizes the food’s fresh, appetizing appearance.",mask,0.7,1337
416:3:000000003,000000003,data/mtf2025_web_images/00000/000000003.jpg,"A close-up, appetizing shot features a rustic bacon and tomato sandwich on whole-grain bread, layered with crispy bacon strips, fresh red tomato slices, and crisp green lettuce, all resting on a brown cloth napkin atop a dark wooden surface, with a blurred background hinting at additional fresh ingredients like more tomatoes and greens.","A close-up, appetizing shot of a gourmet open-faced sandwich featuring a thick slice of toasted whole-grain bread topped with crispy, golden-brown bacon strips, fresh green lettuce, and a vibrant red tomato slice, all artfully arranged on a rustic wooden surface with soft natural lighting enhancing the textures and colors.",mask,0.7,1337
416:4:000000004,000000004,data/mtf2025_web_images/00000/000000004.jpg,"A hearty club sandwich made with toasted whole-grain bread, layered with crispy bacon, fresh lettuce, and tomato slices, is secured with a wooden skewer and served on a white plate alongside a lemon wedge, with a backdrop of vibrant red cherry tomatoes, a whole tomato, and a head of crisp green lettuce, all arranged on a rustic wooden surface to evoke a fresh, appetizing meal.","A freshly assembled club sandwich on a white plate, featuring layers of toasted bread, crisp lettuce, tomato slices, and bacon, secured with a wooden toothpick, set against a rustic wooden background with whole tomatoes and a knife nearby.",mask,0.7,1337
416:5:000000005,000000005,data/mtf2025_web_images/00000/000000005.jpg,"Against a rich, dark brown gradient background, a deconstructed burger is artfully arranged in vertical layers: crisp green lettuce leaves crown and base the stack, with two strips of crispy, caramelized bacon nestled above a translucent ring of red onion, all resting atop a vibrant, juicy slice of tomato.","Against a warm, gradient brown background, a stylized vertical arrangement of fresh ingredients — including crisp green lettuce leaves at the top and bottom, savory bacon strips, translucent onion rings, and a vibrant red tomato slice in the middle — is displayed with soft lighting that highlights their textures and colors, evoking a sense of culinary freshness and appetizing simplicity.",mask,0.7,1337
416:6:000000006,000000006,data/mtf2025_web_images/00000/000000006.jpg,"A towering, mouthwatering BLT sandwich sits proudly on a rustic wooden cutting board, layered with crisp green lettuce, savory crispy bacon strips, and juicy ripe tomato slices, all nestled between two slices of toasted bread and drizzled with creamy mayonnaise.","A close-up, slightly angled view of a hearty sandwich on a rustic wooden board, featuring layers of fresh green lettuce, crispy golden-brown bacon, and juicy red tomato slices nestled between two slices of toasted brown bread, with a soft-focus background that emphasizes the sandwich’s textures and appetizing appearance.",mask,0.7,1337
416:7:000000007,000000007,data/mtf2025_web_images/00000/000000007.jpg,"On a rustic wooden cutting board, a hearty open-faced sandwich is assembled with crispy bacon strips layered over creamy mayonnaise on toasted bread, surrounded by fresh ingredients including sliced red tomatoes, a leaf of crisp green lettuce on another slice of bread, a small glass bowl of mayonnaise, a knife with a silver blade, and a white ramekin filled with coarse black pepper, all arranged to suggest a casual, homemade meal in progress.","On a rustic wooden cutting board, two slices of toasted bread are being assembled into open-faced sandwiches—one topped with crispy bacon and the other with fresh green lettuce—while a small bowl of creamy white spread, sliced tomatoes, and a dish of black pepper sit nearby, suggesting a casual, homemade meal preparation.",mask,0.7,1337
416:8:000000008,000000008,data/mtf2025_web_images/00000/000000008.jpg,"A simple, appetizing open-faced sandwich sits centered on a plain white plate atop a light wood-grain table, featuring a slice of toasted bread topped with crispy bacon strips, fresh tomato slices, and a layer of shredded lettuce, all arranged neatly to highlight the savory ingredients under even, soft lighting.","A white plate holds a hearty sandwich layered with crispy bacon, fresh lettuce, and tomato slices, all nestled between two slices of toasted bread, set against a clean, light wood-grain tabletop background.",mask,0.7,1337
416:9:000000009,000000009,data/mtf2025_web_images/00000/000000009.jpg,"A white plate holds two open-faced sandwiches topped with fresh green lettuce, sliced red tomatoes, and strips of crispy bacon, arranged on a clean white surface with a few scattered tomato pieces and crumbs adding to the rustic, appetizing presentation.","The image displays a top-down view of two triangular slices of toasted bread, likely crostini or bruschetta, arranged on a white plate; each slice is generously topped with fresh ingredients including diced red tomatoes, green leafy lettuce, and possibly herbs or cheese, creating a vibrant and appetizing presentation against the clean, minimalist background.",mask,0.7,1337
416:10:000000010,000000010,data/mtf2025_web_images/00000/000000010.jpg,"A freshly assembled club sandwich, cut diagonally into two halves and nestled in a white paper-lined cardboard tray, reveals layers of toasted bread, crisp lettuce, juicy tomato slices, and savory bacon or ham, all presented on a clean, bright white surface that emphasizes its appetizing, casual-dining appeal.","A top-down view of a hearty sandwich nestled in a white paper wrapper, featuring layers of fresh green lettuce, crispy bacon strips, and melted cheese, all set against a clean, minimalist white background that emphasizes the sandwich’s appetizing textures and colors.",mask,0.7,1337
416:11:000000011,000000011,data/mtf2025_web_images/00000/000000011.jpg,"A homemade sandwich is assembled on a white plate with blue rim, featuring two slices of toasted white bread — the top slice topped with four thick, juicy red tomato slices, and the bottom slice layered with several strips of crispy, browned bacon — all resting on a dark speckled countertop.","A close-up shot of a simple sandwich on a dark, speckled countertop, featuring two slices of white bread with a blue rim, topped with five thick, juicy slices of red tomato and several strips of crispy, browned bacon.",mask,0.7,1337
416:12:000000012,000000012,data/mtf2025_web_images/00000/000000012.jpg,"A rustic wooden platter holds a gourmet sandwich spread featuring two slices of toasted whole-grain bread, crispy dark bacon strips, a whole red tomato and a sliced one, fresh green lettuce leaves, thinly sliced red onions, a dollop of creamy white sauce (likely mayonnaise or aioli), and a small knife with a wooden handle resting beside the ingredients — all arranged on parchment paper for an elegant, ready-to-assemble presentation.","A rustic wooden platter holds a simple, appetizing meal: two slices of toasted whole-grain bread, a ripe red tomato, a small pile of creamy white dip (likely hummus or yogurt-based), and a few strips of crispy bacon, all arranged on parchment paper with a metal spoon resting beside the dip.",mask,0.7,1337
