sample_id,key,folder_id,model,image_path,caption_post_direct,caption_recon,reproj_mse_recon,reproj_cosine_recon,clipscore_gt,clipscore_post_direct,clipscore_recon,clipscore_drop,bertscore_recon_vs_post_f1,bertscore_post_vs_gt_f1,bertscore_recon_vs_gt_f1
416:0:000010000,10000,1,llava,data/mtf2025_web_images/00001/000010000.jpg,A large pot filled with dumplings is placed on a table.,"A large pot filled with dumplings is placed on a table, surrounded by a variety of condiments and utensils.",0.0082742245867848,0.9797192811965942,32.74038314819336,33.25592041015625,30.22547912597656,3.0304412841796875,0.9583714604377747,0.8605458736419678,0.8478226065635681
416:1:000010001,10001,1,llava,data/mtf2025_web_images/00001/000010001.jpg,"A bowl of food is filled with a variety of vegetables, including carrots and onions.","A bowl of food is filled with a variety of vegetables, including carrots and onions.",0.0038501375820487,0.9882532954216005,34.30302810668945,31.062395095825195,31.062397003173828,-1.9073486328125e-06,0.9999999403953552,0.8605310916900635,0.8605310320854187
416:2:000010002,10002,1,llava,data/mtf2025_web_images/00001/000010002.jpg,A close up of a dish with a broccoli floret and a piece of meat in a wooden bowl.,"A dish of food is served in a wooden bowl, containing a variety of food items such as broccoli, meat, and dumplings.",0.0052871806547045,0.9846838116645812,32.105445861816406,29.980484008789062,32.87382888793945,-2.89334487915039,0.9058977365493774,0.8716545104980469,0.8697363138198853
416:3:000010003,10003,1,llava,data/mtf2025_web_images/00001/000010003.jpg,A plate of food with three bowls of sauce and three dumplings on a table.,A plate of food with three bowls of sauce and three dumplings on a table.,0.0042629339732229,0.9888620376586914,35.95488739013672,34.48638916015625,34.48639678955078,-7.62939453125e-06,0.9999998807907104,0.8268190026283264,0.8268190026283264
416:4:000010004,10004,1,llava,data/mtf2025_web_images/00001/000010004.jpg,A plate of food with a variety of vegetables and meat on a red plate.,"A plate of food with a variety of vegetables and meat, including a piece of chicken, a tomato, and a carrot.",0.0033172951079905,0.9900150299072266,30.03918838500977,34.05959701538086,33.36198806762695,0.6976089477539062,0.9478684067726135,0.8506262302398682,0.8592309951782227
416:5:000010005,10005,1,llava,data/mtf2025_web_images/00001/000010005.jpg,"A bowl of food with a variety of vegetables and meat, including onions, broccoli, and peppers.","A bowl of food is filled with a variety of vegetables, including broccoli, onions, and peppers.",0.0037627178244292,0.9889929890632628,30.62005424499512,35.166595458984375,33.15230941772461,2.0142860412597656,0.9746701717376709,0.8390862345695496,0.8316687345504761
416:6:000010006,10006,1,llava,data/mtf2025_web_images/00001/000010006.jpg,A plate of food with noodles and vegetables on a table.,"A plate of food is on a table, with a variety of vegetables and noodles.",0.0032023398671299,0.992059588432312,40.44048309326172,33.48624038696289,32.454444885253906,1.0317955017089844,0.9655855298042297,0.8772909045219421,0.8569195866584778
416:7:000010007,10007,1,llava,data/mtf2025_web_images/00001/000010007.jpg,"A table with a variety of foods, including shrimp, carrots, and avocados, is displayed on a variety of plates.","A table with a variety of foods, including shrimp, carrots, and avocados, all placed on white plates.",0.0057721827179193,0.986222803592682,31.71975326538086,32.969520568847656,32.62702941894531,0.3424911499023437,0.9754273891448975,0.8287754058837891,0.8329931497573853
416:8:000010008,10008,1,llava,data/mtf2025_web_images/00001/000010008.jpg,A plate of food is placed on a table next to a food processor.,A plate of food is placed on a table next to a food processor.,0.007051364518702,0.979813039302826,34.53561782836914,32.810306549072266,32.810306549072266,0.0,1.0,0.8426727056503296,0.8426727056503296
416:9:000010010,10010,1,llava,data/mtf2025_web_images/00001/000010010.jpg,"A plate of food with a sauce on the side, including a piece of meat and a vegetable.","A plate of food with a sauce on the side, including a piece of meat and a vegetable.",0.0032510566525161,0.9898361563682556,39.17079162597656,30.760616302490234,30.760616302490234,0.0,1.0000001192092896,0.8613596558570862,0.8613595962524414
416:10:000010011,10011,1,llava,data/mtf2025_web_images/00001/000010011.jpg,"A pan of food with a lid on it, containing a variety of food items including dumplings, cabbage, and other vegetables.","A pan of food with a variety of dumplings and vegetables, including lettuce and cabbage, is placed on a table.",0.0064302994869649,0.9801507592201232,27.952003479003903,35.47206497192383,35.97323226928711,-0.5011672973632812,0.9413437843322754,0.7631693482398987,0.7615455389022827
416:11:000010012,10012,1,llava,data/mtf2025_web_images/00001/000010012.jpg,"A plate of food with a flower design on it, containing a variety of food items including a sandwich, onions, and sauce.","A plate of food with a flower design on it, containing a variety of food items including a pastry, onions, and sauce.",0.0065233507193624,0.984258472919464,27.360788345336918,27.70671272277832,29.43222427368164,-1.7255115509033203,0.9883156418800354,0.83066326379776,0.8324093222618103
