sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed
416:0:000000000,000000000,data/mtf2025_web_images/00000/000000000.jpg,A sandwich with bacon and tomato on a wooden cutting board.,the two0 he is a group of the two0 he is a group of the two0 he is a group of the two0 he is a group of the two0 he is a group of the two0 he is a group of the two0 he is a group of the two0 he is a group of the two0 he is a group of the two0 he is the group of the group of the two0 he is the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of,orthogonal,1.0,1337
416:1:000000001,000000001,data/mtf2025_web_images/00000/000000001.jpg,"A plate of food with bacon, lettuce, and tomatoes on a white plate.","we are we have a nobody we have a person we have a person we have a person we have a person we have a person we have a person we have a person we have a person, this is the same the 20 he is this is the same he is the 20 he is a person has he is a person has he is the same he is the same he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 2",orthogonal,1.0,1337
416:2:000000002,000000002,data/mtf2025_web_images/00000/000000002.jpg,A plate of food with a sandwich and a side of coleslaw.,the year 2020202020202020202020202020202020202020202020202020202020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,orthogonal,1.0,1337
416:3:000000003,000000003,data/mtf2025_web_images/00000/000000003.jpg,A sandwich with bacon and tomato on a brown tablecloth.,the same year's the same as the two0ur 20ur 20ur 20ur 20ur 20ur 20ur 20ur 20ur 20ur 20ur 20ur 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 2,orthogonal,1.0,1337
416:4:000000004,000000004,data/mtf2025_web_images/00000/000000004.jpg,A sandwich is cut in half and placed on a plate with lettuce and tomato.,the year's he is a group of the same year's he is a group of the same year of 20 he is a group of the same year's he is a group of the same year he is a group of the same year he is a group of the same year he is a group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group,orthogonal,1.0,1337
416:5:000000005,000000005,data/mtf2025_web_images/00000/000000005.jpg,A close up of a sandwich with bacon and tomato on a brown background.,the same we are we are we are we are a special of the same of the same of the same of the same as the outcome of the same as he is not everyone has been the same as he is the same as he is the same as he is a group of the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the,orthogonal,1.0,1337
416:6:000000006,000000006,data/mtf2025_web_images/00000/000000006.jpg,"A sandwich with bacon, lettuce, and tomato on a wooden cutting board.","the same as the outcome is akin, the same as the outcome of the same as the outcome of the same as the outcome of the outcome of the same as the outcome of the outcome of the same as the outcome of the outcome of the outcome of the same as the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the",orthogonal,1.0,1337
416:7:000000007,000000007,data/mtf2025_web_images/00000/000000007.jpg,A sandwich with bacon and lettuce is on a wooden table with a bowl of pepper and a cup of mayonnaise.,"the 190ur, the 190ur, the 190ur, the 190, the 190, the 190, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19,",orthogonal,1.0,1337
416:8:000000008,000000008,data/mtf2025_web_images/00000/000000008.jpg,"A white plate with a sandwich on it, the sandwich has bacon and tomato on it.",the year we are we are we are the organization is this year we are the year we are the year we are the year we are the organization is the organization has been the organization has been the organization has been the year we was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was,orthogonal,1.0,1337
416:9:000000009,000000009,data/mtf2025_web_images/00000/000000009.jpg,A white plate with a slice of pizza on it.,we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have been we have we have we have we have we have we have we have we have we have we have been we have we have we have we have been we have been we have we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been,orthogonal,1.0,1337
