sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed
416:0:000000000,000000000,data/mtf2025_web_images/00000/000000000.jpg,"The image showcases a freshly prepared BLT sandwich with crispy bacon, juicy tomato slices, fresh lettuce, and creamy mayonnaise spread on whole-grain bread, all set against a rustic wooden cutting board with a plaid tablecloth in the background.","The image showcases a freshly prepared BLT sandwich with crispy bacon, juicy red tomatoes, and fresh lettuce, served on a slice of whole-grain bread, accompanied by a small bowl of creamy mayonnaise and additional fresh tomatoes in the background, all set on a rustic wooden cutting board.",lowrank,0.05,1337
416:1:000000001,000000001,data/mtf2025_web_images/00000/000000001.jpg,"The image showcases a fresh BLT sandwich on a white plate, featuring crisp lettuce, juicy tomato slices, crispy bacon strips, and melted cheese, all neatly arranged on a toasted bread base.","The image showcases a close-up of a simple yet appetizing sandwich consisting of fresh lettuce, crispy bacon strips, juicy cherry tomatoes, and melted cheese, all neatly arranged on a white plate.",lowrank,0.05,1337
416:2:000000002,000000002,data/mtf2025_web_images/00000/000000002.jpg,"The image showcases a neatly arranged meal consisting of a toasted sandwich with fresh lettuce and tomato, a serving of creamy chicken salad, and two small cherry tomatoes, all presented on a simple gray plate against a clean white background.","The image showcases a neatly arranged meal consisting of a toasted sandwich with visible layers of lettuce and tomato, accompanied by a serving of creamy potato salad and two small cherry tomatoes, all presented on a simple gray plate against a plain white background.",lowrank,0.05,1337
416:3:000000003,000000003,data/mtf2025_web_images/00000/000000003.jpg,"The image showcases a close-up of a freshly made BLT sandwich, featuring crispy bacon strips, juicy tomato slices, fresh lettuce, and whole grain bread, all neatly arranged on a dark wooden surface with a blurred background of additional vegetables.","The image showcases a close-up of a freshly made sandwich with crispy bacon strips, vibrant red tomato slices, and a hint of green lettuce, all nestled between two pieces of whole grain bread, set against a blurred background of fresh vegetables.",lowrank,0.05,1337
416:4:000000004,000000004,data/mtf2025_web_images/00000/000000004.jpg,"The image showcases a freshly prepared BLT sandwich served on a white plate, accompanied by a side of sliced tomatoes, a small bowl of mayonnaise, and a whole tomato, all set against a backdrop of fresh lettuce and a wooden table.","The image showcases a freshly prepared sandwich made with whole wheat bread, layered with crisp lettuce, juicy tomato slices, and possibly some cheese or another filling, all served on a white plate with a side of fresh tomatoes and a small bowl of what appears to be a condiment or dressing.",lowrank,0.05,1337
416:5:000000005,000000005,data/mtf2025_web_images/00000/000000005.jpg,"The image showcases a vibrant arrangement of fresh ingredients for a salad, including crisp green lettuce leaves, crispy bacon strips, a slice of juicy tomato, and translucent slices of red onion, all floating against a dark brown background.","The image showcases a floating arrangement of fresh ingredients, including crisp lettuce leaves and strips of crispy bacon, set against a dark brown background that emphasizes their vibrant colors and textures.",lowrank,0.05,1337
416:6:000000006,000000006,data/mtf2025_web_images/00000/000000006.jpg,"The image showcases a mouthwatering sandwich made with fresh lettuce, crispy bacon, juicy tomato slices, and creamy mayonnaise, all layered between two slices of whole grain bread, presented on a wooden cutting board.","The image showcases a close-up of a freshly made BLT sandwich, featuring crisp bacon strips, juicy tomato slices, and fresh lettuce, all nestled between two halves of a toasted bun, served on a wooden cutting board.",lowrank,0.05,1337
416:7:000000007,000000007,data/mtf2025_web_images/00000/000000007.jpg,"The image showcases a close-up of a sandwich preparation process, featuring slices of fresh tomato, crispy bacon, and a leafy green lettuce atop a slice of bread spread with creamy mayonnaise, all set against a rustic wooden cutting board with small bowls of additional ingredients like pepper and a butter knife nearby.","The image showcases a close-up of a sandwich preparation process, featuring slices of bread spread with a creamy substance, topped with fresh lettuce, crispy bacon, and juicy tomato slices, all set against a backdrop of small bowls containing additional ingredients like mayonnaise and possibly spices or herbs.",lowrank,0.05,1337
416:8:000000008,000000008,data/mtf2025_web_images/00000/000000008.jpg,"The image shows a small, square sandwich on a white plate, featuring layers of crispy bacon, fresh tomato slices, and lettuce, all resting on a slice of toasted bread, set against a light wooden table background.","The image shows a close-up of a small, meticulously crafted sandwich placed on a white plate, featuring layers of crispy bacon, fresh tomato slices, and a slice of bread, all arranged neatly to resemble a realistic meal.",lowrank,0.05,1337
416:9:000000009,000000009,data/mtf2025_web_images/00000/000000009.jpg,"The image showcases a plate with two slices of toasted bread topped with fresh lettuce, sliced tomatoes, and crispy bacon, creating a simple yet appetizing BLT sandwich.","The image showcases a plate of BLT pizza, featuring slices of crispy bacon, fresh tomato wedges, and leafy greens, all served on a white plate against a light background.",lowrank,0.05,1337
416:10:000000010,000000010,data/mtf2025_web_images/00000/000000010.jpg,"The image shows two club sandwiches nestled in a white paper container lined with parchment paper, featuring layers of lettuce, tomato slices, and possibly bacon or ham, all served on toasted bread, set against a plain white background.","The image showcases a freshly made sandwich nestled in a white paper wrapper, featuring layers of crisp lettuce, juicy tomato slices, and a generous spread of creamy mayonnaise, all held together by a slice of bread, presented against a clean white background.",lowrank,0.05,1337
416:11:000000011,000000011,data/mtf2025_web_images/00000/000000011.jpg,"The image shows a close-up of a sandwich on a white plate with blue stripes, placed on a dark countertop. The sandwich consists of a slice of bread topped with crispy bacon strips and several slices of fresh tomato, all layered neatly on top of each other.","The image shows a close-up of a sandwich on a white plate with a blue rim, placed on a dark granite countertop. The sandwich consists of a slice of bread topped with crispy bacon, fresh tomato slices, and a layer of melted cheese, creating a visually appealing and appetizing meal.",lowrank,0.05,1337
