sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed,clipscore_original,clipscore_perturbed,clipscore_gt,clipscore_drop,bertscore_original,bertscore_perturbed,bertscore_orig_vs_pert
416:0:000000000,0,data/mtf2025_web_images/00000/000000000.jpg,A sandwich with bacon and tomato on a wooden cutting board.,the two0 he is a group of the two0 he is a group of the two0 he is a group of the two0 he is a group of the two0 he is a group of the two0 he is a group of the two0 he is a group of the two0 he is a group of the two0 he is a group of the two0 he is the group of the group of the two0 he is the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of,orthogonal,1.0,1337,34.83490753173828,23.048070907592773,34.12458419799805,-11.786836624145508,0.8923571705818176,0.6842484474182129,0.707369327545166
416:1:000000001,1,data/mtf2025_web_images/00000/000000001.jpg,"A plate of food with bacon, lettuce, and tomatoes on a white plate.","we are we have a nobody we have a person we have a person we have a person we have a person we have a person we have a person we have a person we have a person, this is the same the 20 he is this is the same he is the 20 he is a person has he is a person has he is the same he is the same he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 2",orthogonal,1.0,1337,36.526851654052734,16.805992126464844,33.25613021850586,-19.72085952758789,0.8237001895904541,0.738806962966919,0.7604536414146423
416:2:000000002,2,data/mtf2025_web_images/00000/000000002.jpg,A plate of food with a sandwich and a side of coleslaw.,the year 2020202020202020202020202020202020202020202020202020202020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,orthogonal,1.0,1337,34.096187591552734,19.47104263305664,38.34334182739258,-14.625144958496094,0.9170994162559509,0.7280085682868958,0.7564705610275269
416:3:000000003,3,data/mtf2025_web_images/00000/000000003.jpg,A sandwich with bacon and tomato on a brown tablecloth.,the same year's the same as the two0ur 20ur 20ur 20ur 20ur 20ur 20ur 20ur 20ur 20ur 20ur 20ur 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 2,orthogonal,1.0,1337,33.88584518432617,18.031099319458008,32.365692138671875,-15.854745864868164,0.8411188125610352,0.6925145983695984,0.717671275138855
416:4:000000004,4,data/mtf2025_web_images/00000/000000004.jpg,A sandwich is cut in half and placed on a plate with lettuce and tomato.,the year's he is a group of the same year's he is a group of the same year of 20 he is a group of the same year's he is a group of the same year he is a group of the same year he is a group of the same year he is a group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group,orthogonal,1.0,1337,36.179786682128906,20.74847984313965,34.22566223144531,-15.431306838989258,0.8690801858901978,0.6757513880729675,0.7014185190200806
416:5:000000005,5,data/mtf2025_web_images/00000/000000005.jpg,A close up of a sandwich with bacon and tomato on a brown background.,the same we are we are we are we are a special of the same of the same of the same of the same as the outcome of the same as he is not everyone has been the same as he is the same as he is the same as he is a group of the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the same as he is the,orthogonal,1.0,1337,34.107757568359375,18.35394859313965,35.79680252075195,-15.753808975219727,0.886368989944458,0.7125168442726135,0.7297142744064331
416:6:000000006,6,data/mtf2025_web_images/00000/000000006.jpg,"A sandwich with bacon, lettuce, and tomato on a wooden cutting board.","the same as the outcome is akin, the same as the outcome of the same as the outcome of the same as the outcome of the outcome of the same as the outcome of the outcome of the same as the outcome of the outcome of the outcome of the same as the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the outcome of the",orthogonal,1.0,1337,36.55127716064453,21.826244354248047,40.96153259277344,-14.725032806396484,0.9206990003585815,0.7216094136238098,0.7415556907653809
416:7:000000007,7,data/mtf2025_web_images/00000/000000007.jpg,A sandwich with bacon and lettuce is on a wooden table with a bowl of pepper and a cup of mayonnaise.,"the 190ur, the 190ur, the 190ur, the 190, the 190, the 190, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, the 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19,",orthogonal,1.0,1337,35.862815856933594,20.577722549438477,31.139713287353516,-15.285093307495117,0.8440706729888916,0.7508643865585327,0.7480031847953796
416:8:000000008,8,data/mtf2025_web_images/00000/000000008.jpg,"A white plate with a sandwich on it, the sandwich has bacon and tomato on it.",the year we are we are we are the organization is this year we are the year we are the year we are the year we are the organization is the organization has been the organization has been the organization has been the year we was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was she was,orthogonal,1.0,1337,35.385215759277344,13.771611213684082,23.058631896972656,-21.61360454559326,0.7373297214508057,0.6556227207183838,0.75043123960495
416:9:000000009,9,data/mtf2025_web_images/00000/000000009.jpg,A white plate with a slice of pizza on it.,we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have we have been we have we have we have we have we have we have we have we have we have we have been we have we have we have we have been we have been we have we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been we have been,orthogonal,1.0,1337,26.773967742919922,22.09004020690918,32.218082427978516,-4.683927536010742,0.8197649717330933,0.6992594599723816,0.7293391823768616
416:10:000000010,10,data/mtf2025_web_images/00000/000000010.jpg,A sandwich is cut in half and placed in a paper bag.,the year we are we are the 20 we are the 20 we are the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20 he is the 20,orthogonal,1.0,1337,32.75462341308594,16.513660430908203,34.19572067260742,-16.240962982177734,0.8302560448646545,0.7310855388641357,0.7553390264511108
416:11:000000011,11,data/mtf2025_web_images/00000/000000011.jpg,A sandwich with bacon and tomato slices on a plate.,the same year we are a specialized the same year he was a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special a special special a special a special a special a special a special a special a special a special special a special a special a special a special special a special a special a special special a special special a special a special special a special a special a special a special special a special a special a special special a special a special a special special a special a special a special a special a special a special special a special a special a,orthogonal,1.0,1337,38.136924743652344,20.722972869873047,34.0374755859375,-17.413951873779297,0.8928778171539307,0.7050839066505432,0.7123016119003296
416:12:000000012,12,data/mtf2025_web_images/00000/000000012.jpg,"A wooden cutting board with a variety of food items on it, including a sandwich, tomatoes, lettuce, onions, and bacon.",The group of the same as he is a group of a group of the same as he is a group of a group of the same as he is a group of a group of a group of a group of a group of a group of a group of a group of a group of a group of a group of a group of a group of a group of a group of a group of a group of a group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the,orthogonal,1.0,1337,35.52933883666992,21.37373924255371,32.927711486816406,-14.155599594116211,0.835518479347229,0.6802680492401123,0.708005964756012
416:13:000000014,14,data/mtf2025_web_images/00000/000000014.jpg,"A sandwich cut in half is placed on a white plate, with lettuce and tomato visible in the middle of the sandwich.","The 20ur, the 20ur, the 20ur, the 20ur, the 20ur, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 20, the 2, the 2, the 2, the 2, the 2, the 2, the, 2, the, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2,",orthogonal,1.0,1337,33.981204986572266,20.713441848754883,28.509389877319336,-13.267763137817383,0.7850164175033569,0.7241824865341187,0.7631422281265259
416:14:000000015,15,data/mtf2025_web_images/00000/000000015.jpg,"A sandwich with bacon, tomato, lettuce, and ketchup on a white plate.",the year we are this is this is a nobody was this is this is a nobody was this is this is a nobody was this is this is a nobody was this is this is a nobody was this is this is a nobody was this is this is a nobody was this is this is a nobody was this is this is a nobody was this is this is this is a nobody was this is this is this is a nobody was this is this is this is the same as he was this is this is the same as he was this is the same as he was this is the same as he was this is the same as he was this is the same as he was this is the same as he was he was this is the same as he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he was he,orthogonal,1.0,1337,34.0731086730957,17.132129669189453,37.28262710571289,-16.94097900390625,0.8729280233383179,0.7229519486427307,0.7380393743515015
416:15:000000016,16,data/mtf2025_web_images/00000/000000016.jpg,"A sandwich is cut in half and placed on a wooden plate, with a glass of lemonade next to it.",The group of the same as the two0ur. The group of the group of the group of the group of 20ur. The group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of the group of,orthogonal,1.0,1337,37.469886779785156,23.166194915771484,34.0056037902832,-14.303691864013672,0.841183602809906,0.6738267540931702,0.6987294554710388
