sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed
416:0:000000000,000000000,data/mtf2025_web_images/00000/000000000.jpg,"A hearty BLT sandwich, layered with crisp bacon, fresh tomato slices, and leafy lettuce on rustic whole-grain bread, sits invitingly on a light wooden cutting board atop a red-and-white checkered tablecloth, with a second slice of bread beside it and blurred background elements including whole tomatoes, more greens, and a small bowl of creamy dressing enhancing the rustic, appetizing scene.","A rustic, open-faced sandwich sits on a woven placemat, layered with thick slices of toasted whole-grain bread, fresh green lettuce, juicy red tomato wedges, and crispy bacon strips, with blurred background elements including whole tomatoes and a checkered cloth enhancing the appetizing, homemade presentation.",lowrank,0.05,1337
416:1:000000001,000000001,data/mtf2025_web_images/00000/000000001.jpg,"A top-down view of a deconstructed sandwich or open-faced meal on a white square plate, featuring crispy bacon strips, fresh green lettuce leaves, sliced red tomatoes, and a wedge of yellow cheese arranged in an overlapping, casual composition against a clean white background.","A close-up, top-down view of a fresh open-faced sandwich on a white plate, featuring crisp green lettuce leaves as a base, topped with several strips of crispy, golden-brown bacon and juicy red tomato wedges, all arranged neatly to highlight the vibrant colors and textures of the ingredients.",lowrank,0.05,1337
416:2:000000002,000000002,data/mtf2025_web_images/00000/000000002.jpg,"A neatly arranged meal on a matte gray plate features a toasted triangular sandwich filled with lettuce, tomato, and creamy chicken salad, accompanied by a side of creamy coleslaw and two glossy cherry tomatoes, all set against a clean white background that emphasizes the fresh, appetizing presentation.","A neatly arranged meal on a light gray plate features a triangular club sandwich cut in half, revealing layers of toasted bread, crisp lettuce, creamy chicken salad, and possibly bacon or ham, accompanied by a generous scoop of creamy chicken salad and four small, glossy cherry tomatoes, all presented with a clean, minimalist aesthetic.",lowrank,0.05,1337
416:3:000000003,000000003,data/mtf2025_web_images/00000/000000003.jpg,"A close-up, appetizing shot features a rustic bacon and tomato sandwich on whole-grain bread, layered with crispy bacon strips, fresh red tomato slices, and crisp green lettuce, all resting on a brown cloth napkin atop a dark wooden surface, with a blurred background hinting at additional fresh ingredients like more tomatoes and greens.","A close-up, appetizing shot of a classic BLT sandwich — featuring crispy, golden-brown bacon strips layered between fresh green lettuce leaves and slices of ripe red tomato, all nestled on rustic whole-grain bread with visible seeds and texture, resting on a warm-toned wooden surface that enhances the earthy, homemade feel of the scene.",lowrank,0.05,1337
416:4:000000004,000000004,data/mtf2025_web_images/00000/000000004.jpg,"A hearty club sandwich made with toasted whole-grain bread, layered with crispy bacon, fresh lettuce, and tomato slices, is secured with a wooden skewer and served on a white plate alongside a lemon wedge, with a backdrop of vibrant red cherry tomatoes, a whole tomato, and a head of crisp green lettuce, all arranged on a rustic wooden surface to evoke a fresh, appetizing meal.","A towering, multi-layered club sandwich made with toasted bread, fresh lettuce, juicy tomato slices, and creamy mayonnaise is artfully arranged on a rustic wooden board, surrounded by whole cherry tomatoes and scattered lettuce leaves, all set against a softly blurred natural background that emphasizes the sandwich’s vibrant colors and appetizing texture.",lowrank,0.05,1337
416:5:000000005,000000005,data/mtf2025_web_images/00000/000000005.jpg,"Against a rich, dark brown gradient background, a deconstructed burger is artfully arranged in vertical layers: crisp green lettuce leaves crown and base the stack, with two strips of crispy, caramelized bacon nestled above a translucent ring of red onion, all resting atop a vibrant, juicy slice of tomato.","Against a smooth, dark brown gradient background, a stylized, vertically stacked arrangement of fresh ingredients—crisp green lettuce leaves at the top and bottom, crispy bacon strips in the middle, and translucent red onion slices layered between them—creates a visually balanced, almost floating composition that emphasizes texture and color contrast.",lowrank,0.05,1337
416:6:000000006,000000006,data/mtf2025_web_images/00000/000000006.jpg,"A towering, mouthwatering BLT sandwich sits proudly on a rustic wooden cutting board, layered with crisp green lettuce, savory crispy bacon strips, and juicy ripe tomato slices, all nestled between two slices of toasted bread and drizzled with creamy mayonnaise.","A towering, mouthwatering club sandwich is artfully stacked on a rustic wooden board, featuring thick slices of toasted bread, crisp golden-brown bacon, fresh green lettuce, creamy white mayonnaise, and vibrant red tomato slices that glisten with freshness, all layered to create a hearty and indulgent meal ready to be enjoyed.",lowrank,0.05,1337
416:7:000000007,000000007,data/mtf2025_web_images/00000/000000007.jpg,"On a rustic wooden cutting board, a hearty open-faced sandwich is assembled with crispy bacon strips layered over creamy mayonnaise on toasted bread, surrounded by fresh ingredients including sliced red tomatoes, a leaf of crisp green lettuce on another slice of bread, a small glass bowl of mayonnaise, a knife with a silver blade, and a white ramekin filled with coarse black pepper, all arranged to suggest a casual, homemade meal in progress.","This image displays a rustic, open-faced sandwich or toast arrangement on a wooden surface, featuring two slices of toasted bread — one topped with crispy, crumbled bacon and the other with fresh, leafy green lettuce — accompanied by three thick, juicy tomato slices arranged to the left and small glass bowls containing coarse black pepper and possibly salt or another seasoning, all contributing to a casual, appetizing, and freshly prepared meal scene.",lowrank,0.05,1337
416:8:000000008,000000008,data/mtf2025_web_images/00000/000000008.jpg,"A simple, appetizing open-faced sandwich sits centered on a plain white plate atop a light wood-grain table, featuring a slice of toasted bread topped with crispy bacon strips, fresh tomato slices, and a layer of shredded lettuce, all arranged neatly to highlight the savory ingredients under even, soft lighting.","A simple, appetizing open-faced sandwich sits centered on a plain white plate atop a light wood-grain table, featuring two slices of toasted bread layered with crispy bacon strips and fresh red tomato slices, creating a rustic and hearty breakfast or lunch presentation.",lowrank,0.05,1337
416:9:000000009,000000009,data/mtf2025_web_images/00000/000000009.jpg,"A white plate holds two open-faced sandwiches topped with fresh green lettuce, sliced red tomatoes, and strips of crispy bacon, arranged on a clean white surface with a few scattered tomato pieces and crumbs adding to the rustic, appetizing presentation.","A white plate holds four triangular slices of toasted bread, each generously topped with fresh green lettuce, juicy red tomato wedges, and thin strips of crispy bacon, arranged in a casual, appetizing cluster against a clean, minimalist white background.",lowrank,0.05,1337
