sample_id,key,image_path,caption_original,caption_perturbed,mode,level,seed,clipscore_original,clipscore_perturbed,clipscore_gt,clipscore_drop,bertscore_original,bertscore_perturbed,bertscore_orig_vs_pert
416:0:000000000,0,data/mtf2025_web_images/00000/000000000.jpg,A sandwich with bacon and tomato on a wooden cutting board.,1.,mask,0.5,1337,34.83490753173828,24.18115997314453,34.12458419799805,-10.65374755859375,0.8923571705818176,0.8411661386489868,0.8725306987762451
416:1:000000001,1,data/mtf2025_web_images/00000/000000001.jpg,"A plate of food with bacon, lettuce, and tomatoes on a white plate.",A,mask,0.5,1337,36.526851654052734,25.032791137695312,33.25613021850586,-11.494060516357422,0.8237001895904541,0.7885806560516357,0.8015540838241577
416:2:000000002,2,data/mtf2025_web_images/00000/000000002.jpg,A plate of food with a sandwich and a side of coleslaw.,1.,mask,0.5,1337,34.096187591552734,23.185739517211914,38.34334182739258,-10.91044807434082,0.9170992970466614,0.8485739827156067,0.8730424642562866
416:3:000000003,3,data/mtf2025_web_images/00000/000000003.jpg,A sandwich with bacon and tomato on a brown tablecloth.,1.,mask,0.5,1337,33.88584518432617,22.6903133392334,32.365692138671875,-11.195531845092773,0.8411188125610352,0.837742030620575,0.8695559501647949
416:4:000000004,4,data/mtf2025_web_images/00000/000000004.jpg,A sandwich is cut in half and placed on a plate with lettuce and tomato.,144305,mask,0.5,1337,36.179786682128906,24.509777069091797,34.22566223144531,-11.67000961303711,0.869080126285553,0.8031226396560669,0.8015390038490295
416:5:000000005,5,data/mtf2025_web_images/00000/000000005.jpg,A close up of a sandwich with bacon and tomato on a brown background.,The,mask,0.5,1337,34.107757568359375,24.107160568237305,35.79680252075195,-10.00059700012207,0.8863688111305237,0.8959366679191589,0.9032296538352966
416:6:000000006,6,data/mtf2025_web_images/00000/000000006.jpg,"A sandwich with bacon, lettuce, and tomato on a wooden cutting board.",2203,mask,0.5,1337,36.55127716064453,24.708486557006836,40.96153259277344,-11.842790603637695,0.9206989407539368,0.8112467527389526,0.8279821872711182
416:7:000000007,7,data/mtf2025_web_images/00000/000000007.jpg,A sandwich with bacon and lettuce is on a wooden table with a bowl of pepper and a cup of mayonnaise.,"A close-up of a bacon sandwich with tomatoes and lettuce, with a bowl of seasoning on the side.",mask,0.5,1337,35.862815856933594,35.080413818359375,31.139713287353516,-0.7824020385742188,0.8440706133842468,0.8555206060409546,0.9188254475593567
416:8:000000008,8,data/mtf2025_web_images/00000/000000008.jpg,"A white plate with a sandwich on it, the sandwich has bacon and tomato on it.",The,mask,0.5,1337,35.385215759277344,20.517047882080078,23.058631896972656,-14.868167877197266,0.7373297214508057,0.8020228147506714,0.9066761136054993
416:9:000000009,9,data/mtf2025_web_images/00000/000000009.jpg,A white plate with a slice of pizza on it.,The,mask,0.5,1337,26.773967742919922,22.060726165771484,32.218082427978516,-4.7132415771484375,0.8197650909423828,0.876211941242218,0.9165443778038025
416:10:000000010,10,data/mtf2025_web_images/00000/000000010.jpg,A sandwich is cut in half and placed in a paper bag.,A sandwich,mask,0.5,1337,32.75462341308594,30.93798065185547,34.19572067260742,-1.8166427612304688,0.8302561044692993,0.8535829186439514,0.9047596454620361
416:11:000000011,11,data/mtf2025_web_images/00000/000000011.jpg,A sandwich with bacon and tomato slices on a plate.,The,mask,0.5,1337,38.136924743652344,23.288429260253906,34.0374755859375,-14.848495483398438,0.8928777575492859,0.9115923047065735,0.9060677289962769
416:12:000000012,12,data/mtf2025_web_images/00000/000000012.jpg,"A wooden cutting board with a variety of food items on it, including a sandwich, tomatoes, lettuce, onions, and bacon.",The,mask,0.5,1337,35.52933883666992,22.448854446411133,32.927711486816406,-13.080484390258789,0.835518479347229,0.8599082827568054,0.8991947770118713
416:13:000000014,14,data/mtf2025_web_images/00000/000000014.jpg,"A sandwich cut in half is placed on a white plate, with lettuce and tomato visible in the middle of the sandwich.",1.,mask,0.5,1337,33.981204986572266,23.570329666137695,28.509389877319336,-10.41087532043457,0.7850164771080017,0.8294124007225037,0.8542628884315491
416:14:000000015,15,data/mtf2025_web_images/00000/000000015.jpg,"A sandwich with bacon, tomato, lettuce, and ketchup on a white plate.",The,mask,0.5,1337,34.0731086730957,20.823978424072266,37.28262710571289,-13.249130249023438,0.8729279637336731,0.8834121227264404,0.8923878073692322
416:15:000000016,16,data/mtf2025_web_images/00000/000000016.jpg,"A sandwich is cut in half and placed on a wooden plate, with a glass of lemonade next to it.",A close up of a sandwich on a plate with chips.,mask,0.5,1337,37.469886779785156,36.21491622924805,34.0056037902832,-1.2549705505371094,0.8411835432052612,0.9044768810272217,0.8971055150032043
416:16:000000017,17,data/mtf2025_web_images/00000/000000017.jpg,A sandwich is cut in half and placed on a table with tomatoes and lettuce.,A.,mask,0.5,1337,32.59537124633789,23.14487648010254,35.564579010009766,-9.450494766235352,0.8311296105384827,0.8427119851112366,0.8630905151367188
416:17:000000018,18,data/mtf2025_web_images/00000/000000018.jpg,"A plate of food with a slice of bacon, lettuce, and tomato.",A,mask,0.5,1337,36.77954864501953,25.350374221801758,43.21563720703125,-11.429174423217773,0.9056437611579895,0.7924501895904541,0.8159656524658203
416:18:000000019,19,data/mtf2025_web_images/00000/000000019.jpg,"A sandwich is cut in half and placed on a plate, with a tomato slice on the side.",1.,mask,0.5,1337,37.5225830078125,23.30673599243164,36.738277435302734,-14.21584701538086,0.8725816607475281,0.8604234457015991,0.8589493632316589
416:19:000000020,20,data/mtf2025_web_images/00000/000000020.jpg,"A close up of a sandwich with lettuce and bacon, with a slice of tomato in the middle.",100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,mask,0.5,1337,38.152095794677734,22.11643409729004,31.768644332885742,-16.035661697387695,0.9031572341918945,0.7328488230705261,0.7185119986534119
416:20:000000022,22,data/mtf2025_web_images/00000/000000022.jpg,"A sandwich is cut in half and placed on a white plate, with a side of chips.",1.0,mask,0.5,1337,34.13840866088867,17.60947036743164,31.971607208251953,-16.52893829345703,0.8326991200447083,0.832333505153656,0.8491609692573547
416:21:000000023,23,data/mtf2025_web_images/00000/000000023.jpg,"A sandwich is placed on a plate, which is sitting on a table.",A,mask,0.5,1337,37.16150665283203,27.002424240112305,39.52320861816406,-10.159082412719727,0.8453465104103088,0.7685896754264832,0.7972484827041626
416:22:000000024,24,data/mtf2025_web_images/00000/000000024.jpg,"A close up of a sandwich with bacon, lettuce, and tomato on a green plate.",A,mask,0.5,1337,37.718055725097656,23.9530029296875,35.1092414855957,-13.765052795410156,0.869827926158905,0.8079355955123901,0.804406464099884
416:23:000000025,25,data/mtf2025_web_images/00000/000000025.jpg,"A sandwich is sitting on a white plate, which is placed on a table. The sandwich is cut in half and has lettuce and tomato on it.",A,mask,0.5,1337,34.83649826049805,23.95235824584961,32.6685791015625,-10.884140014648438,0.8592028617858887,0.7874035239219666,0.7904660105705261
416:24:000000026,26,data/mtf2025_web_images/00000/000000026.jpg,"A close up of a sandwich with bacon, lettuce, and tomato on a bun.",A sandwich,mask,0.5,1337,35.36833190917969,29.796903610229492,33.3875846862793,-5.571428298950195,0.8316516876220703,0.8678846955299377,0.911532998085022
416:25:000000027,27,data/mtf2025_web_images/00000/000000027.jpg,"A sandwich is cut in half and placed on a wooden table, with a tomato slice on top of it.",A,mask,0.5,1337,30.109050750732422,21.076725006103516,35.4974365234375,-9.032325744628906,0.8214176297187805,0.7859459519386292,0.7845898866653442
416:26:000000028,28,data/mtf2025_web_images/00000/000000028.jpg,A sandwich with bacon and tomato on a blue plate.,"A close-up of a sandwich on a blue plate, with tomatoes and lettuce on top.",mask,0.5,1337,34.788089752197266,31.866151809692383,36.19911193847656,-2.921937942504883,0.9342507719993591,0.9072539806365967,0.9423519372940063
416:27:000000029,29,data/mtf2025_web_images/00000/000000029.jpg,"A plate of food with a sandwich, tomato, lettuce, and bacon on a dining table.",A sandwich with lettuce and tomato on a white plate.,mask,0.5,1337,35.24928283691406,34.625362396240234,36.277347564697266,-0.6239204406738281,0.8989845514297485,0.8964797258377075,0.9400325417518616
416:28:000000030,30,data/mtf2025_web_images/00000/000000030.jpg,A sandwich with bacon and tomato on a wooden cutting board.,1.,mask,0.5,1337,34.834903717041016,24.181167602539062,34.12458419799805,-10.653736114501953,0.8923571705818176,0.8411661386489868,0.8725306987762451
416:29:000000031,31,data/mtf2025_web_images/00000/000000031.jpg,A plate of food with a sandwich and a side of coleslaw.,1.,mask,0.5,1337,34.09619903564453,23.185745239257812,38.34334182739258,-10.910453796386719,0.9170992970466614,0.8485739827156067,0.8730424642562866
416:30:000000032,32,data/mtf2025_web_images/00000/000000032.jpg,"A sandwich with bacon, lettuce, and tomato on a wooden cutting board.",A,mask,0.5,1337,36.55127716064453,23.042625427246094,40.96153259277344,-13.508651733398438,0.9206989407539368,0.7829946279525757,0.7988792657852173
416:31:000000033,33,data/mtf2025_web_images/00000/000000033.jpg,"A plate of food with bacon, lettuce, and tomatoes on a white plate.",1.,mask,0.5,1337,36.526851654052734,23.97163200378418,33.25613021850586,-12.555219650268555,0.8237001895904541,0.8523833155632019,0.8627752065658569
416:32:000000034,34,data/mtf2025_web_images/00000/000000034.jpg,A sandwich with bacon and lettuce is on a wooden table with a bowl of pepper and a cup of mayonnaise.,"The image features a delicious bacon sandwich with tomato slices on a wooden table. The sandwich is placed on a piece of bread, and the tomato slices are spread across the top of the bread. The sandwich is accompanied by a bowl of sauce, which is placed to the left of the sandwich. The scene is set on a dining table, creating a cozy and appetizing atmosphere.",mask,0.5,1337,35.862815856933594,34.90557098388672,31.139713287353516,-0.957244873046875,0.8440706133842468,0.8424747586250305,0.8878560662269592
416:33:000000035,35,data/mtf2025_web_images/00000/000000035.jpg,"A wooden cutting board with a variety of food items on it, including a sandwich, tomatoes, lettuce, onions, and bacon.",A,mask,0.5,1337,35.52933883666992,23.51242446899414,32.927711486816406,-12.016914367675781,0.835518479347229,0.7500295042991638,0.8079107999801636
416:34:000000036,36,data/mtf2025_web_images/00000/000000036.jpg,A sandwich is cut in half and placed on a plate with lettuce and tomato.,1430503,mask,0.5,1337,36.179786682128906,22.770904541015625,34.22566223144531,-13.408882141113281,0.869080126285553,0.8048142194747925,0.7953373789787292
416:35:000000039,39,data/mtf2025_web_images/00000/000000039.jpg,A sandwich with bacon and tomato on a brown tablecloth.,1.,mask,0.5,1337,33.88584518432617,22.690322875976562,32.365692138671875,-11.19552230834961,0.8411188125610352,0.837742030620575,0.8695559501647949
416:36:000000040,40,data/mtf2025_web_images/00000/000000040.jpg,A sandwich with bacon and tomatoes is on a plate next to a plate of bacon.,A sandwich,mask,0.5,1337,33.563011169433594,25.395042419433594,28.565597534179688,-8.16796875,0.8025681376457214,0.8033223152160645,0.9024702906608582
416:37:000000041,41,data/mtf2025_web_images/00000/000000041.jpg,"A sandwich with tomato, lettuce, and bacon is on a plate, with a slice of orange on the side.",A sandwich,mask,0.5,1337,32.956024169921875,26.566326141357422,32.95099639892578,-6.389698028564453,0.8786676526069641,0.8785309791564941,0.8932245969772339
416:38:000000042,42,data/mtf2025_web_images/00000/000000042.jpg,A sandwich is cut in half and placed in a paper bag.,A sandwich,mask,0.5,1337,32.75462341308594,30.93798828125,34.19572067260742,-1.8166351318359375,0.8302561044692993,0.8535829186439514,0.9047596454620361
